USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
WI      55001   01581060        Adams County    20875   17436   1672214172      111125910            645.646          42.906     43.973763       -89.767223                                                                                        
WI      55003   01581061        Ashland County  16157   9656    2706628242      3230607930          1045.035        1247.345     46.546290       -90.665154                                                                                      
WI      55005   01581062        Barron County   45870   23614   2234411472      70065655             862.711          27.053     45.437192       -91.852892                                                                                        
WI      55007   01581063        Bayfield County 15014   12999   3827647135      1460263062          1477.863         563.811     46.634199       -91.177282                                                                                    
WI      55009   01581064        Brown County    248007  104371  1371938244      222741055            529.708          86.001     44.473961       -87.995926                                                                                      
WI      55011   01581065        Buffalo County  13587   6664    1739526593      98314066             671.635          37.959     44.389759       -91.758714                                                                                        
WI      55013   01581066        Burnett County  15457   15278   2128575375      151213123            821.848          58.384     45.865255       -92.367977                                                                                      
WI      55015   01581067        Calumet County  48971   19695   824227417       204196417            318.236          78.841     44.078410       -88.212132                                                                                       
WI      55017   01581068        Chippewa County 62415   27185   2611672690      85235029            1008.373          32.909     45.069092       -91.283505                                                                                      
WI      55019   01581069        Clark County    34690   15076   3133407354      23235757            1209.815           8.971     44.733596       -90.610201                                                                                         
WI      55021   01581070        Columbia County 56833   26137   1982711486      78845739             765.529          30.443     43.471882       -89.330472                                                                                      
WI      55023   01581071        Crawford County 16644   8802    1478001974      73945297             570.660          28.550     43.249910       -90.951230                                                                                       
WI      55025   01581072        Dane County     488073  216022  3100835926      106205344           1197.239          41.006     43.067468       -89.417852                                                                                       
WI      55027   01581073        Dodge County    88759   37005   2267857853      81401698             875.625          31.429     43.422706       -88.704379                                                                                         
WI      55029   01581074        Door County     27785   23966   1248316135      4890602262           481.978        1888.272     45.067808       -87.087936                                                                                        
WI      55031   01581075        Douglas County  44159   22825   3377697851      454647037           1304.136         175.540     46.463316       -91.892579                                                                                      
WI      55033   01581076        Dunn County     43857   17964   2201762202      35638625             850.105          13.760     44.947741       -91.897720                                                                                          
WI      55035   01581077        Eau Claire County       98736   42151   1652369085      18811805             637.983           7.263     44.726355       -91.286414                                                                                    
WI      55037   01581078        Florence County 4423    4780    1264419915      24160218             488.195           9.328     45.849646       -88.400322                                                                                        
WI      55039   01581079        Fond du Lac County      101633  43910   1863633125      119883005            719.553          46.287     43.754722       -88.493284                                                                                 
WI      55041   01581080        Forest County   9304    8970    2626421270      83551459            1014.067          32.259     45.666882       -88.773225                                                                                          
WI      55043   01581081        Grant County    51208   21581   2970324643      94521211            1146.849          36.495     42.870062       -90.695368                                                                                         
WI      55045   01581082        Green County    36842   15856   1512440867      1315724      583.957           0.508     42.677728       -89.605639                                                                                          
WI      55047   01581083        Green Lake County       19051   10616   905037501       79929990             349.437          30.861     43.761410       -88.987228                                                                                     
WI      55049   01581084        Iowa County     23687   10719   1975072643      13869428             762.580           5.355     43.001021       -90.133691                                                                                          
WI      55051   01581085        Iron County     5916    5999    1963660997      416963329            758.174         160.990     46.326550       -90.261298                                                                                           
WI      55053   01581086        Jackson County  20449   9727    2558182292      32520538             987.720          12.556     44.324895       -90.806541                                                                                        
WI      55055   01581087        Jefferson County        83686   35147   1441259924      68019815             556.474          26.263     43.013807       -88.773985                                                                                     
WI      55057   01581088        Juneau County   26664   14669   1986327042      96096159             766.925          37.103     43.932836       -90.113984                                                                                        
WI      55059   01581089        Kenosha County  166426  69288   704452046       1248438057           271.990         482.025     42.579703       -87.424898                                                                                     
WI      55061   01581090        Kewaunee County 20574   9304    887118289       1921198771           342.518         741.779     44.500949       -87.161813                                                                                      
WI      55063   01581091        La Crosse County        114638  48402   1169862598      73139930             451.686          28.239     43.908222       -91.111758                                                                                    
WI      55065   01581092        Lafayette County        16836   7230    1640985371      2539100      633.588           0.980     42.655578       -90.130292                                                                                       
WI      55067   01581093        Langlade County 19977   12360   2254946857      44657283             870.640          17.242     45.259204       -89.068190                                                                                      
WI      55069   01581094        Lincoln County  28743   16784   2276530049      72588161             878.973          28.026     45.338319       -89.742082                                                                                       
WI      55071   01581095        Manitowoc County        81442   37189   1525716187      2343921717           589.082         904.993     44.105108       -87.313828                                                                                   
WI      55073   01581096        Marathon County 134063  57734   4001488029      81139058            1544.983          31.328     44.898036       -89.757823                                                                                     
WI      55075   01581097        Marinette County        41749   30379   3624293202      390213400           1399.347         150.662     45.346899       -87.991198                                                                                    
WI      55077   01581098        Marquette County        15404   9896    1180003730      22524386             455.602           8.697     43.826053       -89.409095                                                                                      
WI      55078   01581099        Menominee County        4232    2253    926201079       19038425             357.608           7.351     44.991304       -88.669251                                                                                        
WI      55079   01581100        Milwaukee County        947735  418053  625228895       2455664378           241.402         948.137     43.017655       -87.481575                                                                                  
WI      55081   01581101        Monroe County   44673   19204   2332998070      19275338             900.776           7.442     43.945175       -90.619969                                                                                        
WI      55083   01581102        Oconto County   37660   23537   2584775696      390589546            997.988         150.807     44.996575       -88.206516                                                                                       
WI      55085   01581103        Oneida County   35998   30125   2882578692      318622517           1112.970         123.021     45.713791       -89.536693                                                                                       
WI      55087   01581104        Outagamie County        176695  73149   1651177709      18299478             637.523           7.065     44.418226       -88.464988                                                                                    
WI      55089   01581105        Ozaukee County  86395   36267   603666538       2287271020           233.077         883.120     43.360715       -87.496553                                                                                      
WI      55091   01581106        Pepin County    7469    3579    600833973       43282761             231.983          16.712     44.627436       -91.834890                                                                                            
WI      55093   01581107        Pierce County   41019   16132   1485999482      46945602             573.748          18.126     44.725336       -92.426279                                                                                        
WI      55095   01581108        Polk County     44205   24248   2367150768      109933269            913.962          42.445     45.468030       -92.453154                                                                                         
WI      55097   01581109        Portage County  70019   30054   2073747839      56926153             800.679          21.979     44.476246       -89.498070                                                                                       
WI      55099   01581110        Price County    14159   11120   3248817969      62273299            1254.376          24.044     45.679072       -90.359650                                                                                         
WI      55101   01581111        Racine County   195408  82164   861173331       1190399042           332.501         459.616     42.754075       -87.414676                                                                                      
WI      55103   01581112        Richland County 18021   8868    1518123695      8153431      586.151           3.148     43.376199       -90.435693                                                                                        
WI      55105   01581113        Rock County     160331  68422   1859980029      20625910             718.142           7.964     42.669931       -89.075119                                                                                         
WI      55107   01581114        Rusk County     14755   8883    2366174321      44800571             913.585          17.298     45.472734       -91.136745                                                                                           
WI      55109   01581833        St. Croix County        84345   33983   1870824361      34588261             722.329          13.355     45.028959       -92.447284                                                                                     
WI      55111   01581115        Sauk County     61976   29708   2152025932      45881330             830.902          17.715     43.427998       -89.943329                                                                                          
WI      55113   01581116        Sawyer County   16557   15975   3256403571      240766843           1257.305          92.961     45.864913       -91.147130                                                                                       
WI      55115   01581117        Shawano County  41949   20720   2313007314      42514240             893.057          16.415     44.789641       -88.755813                                                                                       
WI      55117   01581118        Sheboygan County        115507  50766   1324171349      1968280402           511.265         759.957     43.746002       -87.730546                                                                                  
WI      55119   01581119        Taylor County   20689   10582   2524917815      24721890             974.876           9.545     45.211656       -90.504853                                                                                        
WI      55121   01581120        Trempealeau County      28816   12619   1898370021      23371308             732.965           9.024     44.303050       -91.358867                                                                                   
WI      55123   01581121        Vernon County   29773   13720   2050180266      64301270             791.579          24.827     43.599858       -90.815226                                                                                        
WI      55125   01581122        Vilas County    21430   25116   2218594892      417610669            856.604         161.240     46.049848       -89.501254                                                                                        
WI      55127   01581123        Walworth County 102228  51531   1437771449      55507309             555.127          21.431     42.668110       -88.541731                                                                                     
WI      55129   01581124        Washburn County 15911   12979   2064513144      145566458            797.113          56.204     45.892463       -91.796423                                                                                     
WI      55131   01581125        Washington County       131887  54695   1115515204      13005075             430.703           5.021     43.391156       -88.232917                                                                                   
WI      55133   01581126        Waukesha County 389891  160864  1423388982      80346783             549.574          31.022     43.019308       -88.306707                                                                                    
WI      55135   01581127        Waupaca County  52410   25396   1936566893      45301523             747.713          17.491     44.478004       -88.967006                                                                                       
WI      55137   01581128        Waushara County 24496   14843   1621729475      29151283             626.153          11.255     44.112825       -89.239752                                                                                      
WI      55139   01581129        Winnebago County        166994  73329   1125316243      373177955            434.487         144.085     44.085707       -88.668149                                                                                   
WI      55141   01581130        Wood County     74749   34088   2054162108      42280594             793.116          16.325     44.461413       -90.038825                                                                                          
