USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
NE      31001   00835823        Adams County    31364   13350   1458868867      2481482      563.272           0.958     40.520632       -98.500044                                                                                          
NE      31003   00835824        Antelope County 6685    3284    2220183930      3558463      857.218           1.374     42.183225       -98.058037                                                                                         
NE      31005   00835825        Arthur County   460     254     1852759801      7644719      715.355           2.952     41.570856      -101.697045                                                                                             
NE      31007   00835826        Banner County   690     369     1932426927      397069       746.114           0.153     41.539750      -103.726263                                                                                              
NE      31009   00835827        Blaine County   478     326     1841156202      9443899      710.874           3.646     41.925230       -99.990771                                                                                             
NE      31011   00835828        Boone County    5505    2649    1778165884      1718584      686.554           0.664     41.705400       -98.066794                                                                                            
NE      31013   00835991        Box Butte County        11308   5478    2784995043      6588657     1075.293           2.544     42.215665      -103.087821                                                                                       
NE      31015   00835829        Boyd County     2099    1390    1398437421      11890322             539.940           4.591     42.894448       -98.773022                                                                                            
NE      31017   00835830        Brown County    3145    1865    3163238171      9814399     1221.333           3.789     42.349390       -99.923176                                                                                            
NE      31019   00835831        Buffalo County  46102   19064   2507398525      18873763             968.112           7.287     40.855226       -99.074983                                                                                       
NE      31021   00835832        Burt County     6858    3467    1273189665      14197836             491.581           5.482     41.854179       -96.337746                                                                                            
NE      31023   00835833        Butler County   8395    4053    1514900899      15292991             584.907           5.905     41.226072       -97.132039                                                                                          
NE      31025   00835834        Cass County     25241   11117   1443778631      21873113             557.446           8.445     40.909878       -96.140609                                                                                          
NE      31027   00835835        Cedar County    8852    4148    1917398625      14335209             740.312           5.535     42.604511       -97.256824                                                                                           
NE      31029   00835836        Chase County    3966    1946    2316533574      7978174      894.419           3.080     40.530390      -101.694192                                                                                            
NE      31031   00835837        Cherry County   5713    3157    15437421571     126677198           5960.422          48.910     42.566985      -101.072622                                                                                        
NE      31033   00835838        Cheyenne County 9998    4888    3098368319      292551      1196.287           0.113     41.214236      -103.011929                                                                                          
NE      31035   00835839        Clay County     6542    3001    1482222817      3234922      572.289           1.249     40.523669       -98.051050                                                                                             
NE      31037   00835840        Colfax County   10515   4097    1066193904      12577905             411.660           4.856     41.574675       -97.089455                                                                                         
NE      31039   00835841        Cuming County   9139    4204    1477895767      10447368             570.619           4.034     41.915865       -96.788517                                                                                          
NE      31041   00835842        Custer County   10939   5579    6670570294      932960      2575.522           0.360     41.393893       -99.726866                                                                                           
NE      31043   00835843        Dakota County   21006   7631    684416224       8199770      264.255           3.166     42.390456       -96.562549                                                                                           
NE      31045   00835844        Dawes County    9182    4252    3616823898      11921996            1396.464           4.603     42.711214      -103.134872                                                                                           
NE      31047   00835845        Dawson County   24326   10123   2623905741      16413301            1013.096           6.337     40.867378       -99.815154                                                                                        
NE      31049   00835846        Deuel County    1941    1044    1139208954      2230956      439.851           0.861     41.112988      -102.332604                                                                                            
NE      31051   00835847        Dixon County    6000    2688    1233434205      17271598             476.232           6.669     42.485280       -96.855862                                                                                           
NE      31053   00835848        Dodge County    36691   16584   1369341649      37020463             528.706          14.294     41.577008       -96.645853                                                                                         
NE      31055   00835849        Douglas County  517110  219580  850693384       28210895             328.455          10.892     41.297091       -96.154066                                                                                      
NE      31057   00835850        Dundy County    2008    1125    2381954077      3046323      919.678           1.176     40.180165      -101.681133                                                                                            
NE      31059   00835851        Fillmore County 5890    2913    1490202759      2990040      575.371           1.154     40.525040       -97.596705                                                                                         
NE      31061   00835852        Franklin County 3225    1734    1491356076      487899       575.816           0.188     40.183203       -98.962080                                                                                          
NE      31063   00835853        Frontier County 2756    1574    2524180489      14212836             974.592           5.488     40.530947      -100.406683                                                                                        
NE      31065   00835854        Furnas County   4959    2721    1862542551      3915843      719.132           1.512     40.191991       -99.909661                                                                                           
NE      31067   00835855        Gage County     22311   10446   2205352156      21928736             851.491           8.467     40.255234       -96.683453                                                                                          
NE      31069   00835856        Garden County   2057    1314    4414071674      68874635            1704.283          26.593     41.659381      -102.328229                                                                                          
NE      31071   00835857        Garfield County 2049    1178    1475749482      4125559      569.790           1.593     41.905571       -98.922998                                                                                         
NE      31073   00835858        Gosper County   2044    1267    1186616260      11831826             458.155           4.568     40.509838       -99.824078                                                                                          
NE      31075   00835859        Grant County    614     391     2010409972      18130867             776.224           7.000     41.915867      -101.756875                                                                                             
NE      31077   00835860        Greeley County  2538    1300    1475804031      2188872      569.811           0.845     41.567600       -98.530566                                                                                          
NE      31079   00835861        Hall County     58607   23549   1414881257      15166027             546.289           5.856     40.866023       -98.498004                                                                                          
NE      31081   00835862        Hamilton County 9124    3968    1406047715      10730466             542.878           4.143     40.877145       -98.021943                                                                                        
NE      31083   00835863        Harlan County   3423    2375    1433470225      53339818             553.466          20.595     40.178766       -99.403418                                                                                          
NE      31085   00835864        Hayes County    967     511     1846821508      570786       713.062           0.220     40.535786      -101.055580                                                                                               
NE      31087   00835865        Hitchcock County        2908    1763    1838742700      22103381             709.943           8.534     40.176896      -101.044217                                                                                       
NE      31089   00835866        Holt County     10435   5215    6248083787      13201507            2412.399           5.097     42.459287       -98.784766                                                                                           
NE      31091   00835867        Hooker County   736     431     1867695559      882994       721.121           0.341     41.918700      -101.116810                                                                                              
NE      31093   00835868        Howard County   6274    2951    1474576349      16201501             569.337           6.255     41.219403       -98.513303                                                                                          
NE      31095   00835869        Jefferson County        7547    3918    1476771431      14204829             570.185           5.485     40.175736       -97.143103                                                                                       
NE      31097   00835870        Johnson County  5217    2191    973968264       1766531      376.051           0.682     40.395457       -96.268562                                                                                           
NE      31099   00835871        Kearney County  6489    2886    1337065724      272321       516.244           0.105     40.506269       -98.948461                                                                                           
NE      31101   00835872        Keith County    8368    5424    2749531266      124671572           1061.600          48.136     41.194404      -101.644474                                                                                          
NE      31103   00835873        Keya Paha County        824     549     2002246688      2192459      773.072           0.847     42.875480       -99.718351                                                                                          
NE      31105   00835874        Kimball County  3821    1963    2465269246      1448446      951.846           0.559     41.199155      -103.711105                                                                                          
NE      31107   00835875        Knox County     8701    4788    2870614119      81251119            1108.350          31.371     42.634404       -97.891349                                                                                            
NE      31109   00835876        Lancaster County        285407  120875  2169240553      22876822             837.548           8.833     40.783547       -96.688658                                                                                   
NE      31111   00835877        Lincoln County  36288   16583   6640905294      28641137            2564.068          11.058     41.050322      -100.744481                                                                                       
NE      31113   00835878        Logan County    763     395     1478003028      1203561      570.660           0.465     41.542155      -100.443665                                                                                              
NE      31115   00835879        Loup County     632     426     1471864091      7275368      568.290           2.809     41.897714       -99.509764                                                                                               
NE      31117   00835881        McPherson County        539     283     2224737034      2680669      858.976           1.035     41.596473      -101.060237                                                                                          
NE      31119   00835880        Madison County  34876   15014   1483396470      7013733      572.743           2.708     41.909929       -97.606856                                                                                        
NE      31121   00835882        Merrick County  7845    3698    1255835783      24906841             484.881           9.617     41.169801       -98.031051                                                                                         
NE      31123   00835883        Morrill County  5042    2442    3687723807      15598670            1423.838           6.023     41.732205      -102.990599                                                                                         
NE      31125   00835884        Nance County    3735    1801    1143824006      17088375             441.633           6.598     41.402385       -97.991408                                                                                           
NE      31127   00835885        Nemaha County   7248    3498    1055115270      5755196      407.382           2.222     40.387448       -95.850954                                                                                           
NE      31129   00835886        Nuckolls County 4500    2465    1489645213      1718484      575.155           0.664     40.176492       -98.046842                                                                                         
NE      31131   00835887        Otoe County     15740   7025    1594475793      8775372      615.631           3.388     40.637992       -96.131027                                                                                            
NE      31133   00835888        Pawnee County   2773    1588    1116478095      4852394      431.075           1.874     40.137850       -96.245225                                                                                           
NE      31135   00835889        Perkins County  2970    1450    2287828141      2840176      883.335           1.097     40.856065      -101.636443                                                                                          
NE      31137   00835890        Phelps County   9188    4175    1398048596      1646534      539.790           0.636     40.516365       -99.406557                                                                                           
NE      31139   00835891        Pierce County   7266    3222    1484707293      3481943      573.249           1.344     42.271413       -97.610992                                                                                           
NE      31141   00835892        Platte County   32237   13378   1745805649      27272400             674.059          10.530     41.576866       -97.513467                                                                                        
NE      31143   00835893        Polk County     5406    2731    1135308002      5949280      438.345           2.297     41.187925       -97.570663                                                                                             
NE      31145   00835894        Red Willow County       11055   5267    1856983744      2643458      716.985           1.021     40.169420      -100.468576                                                                                      
NE      31147   00835895        Richardson County       8363    4393    1429258779      7077617      551.840           2.733     40.123743       -95.718603                                                                                       
NE      31149   00835896        Rock County     1526    912     2611532223      8807750     1008.318           3.401     42.413325       -99.458530                                                                                              
NE      31151   00835897        Saline County   14200   5762    1486698620      5934704      574.018           2.291     40.516802       -97.131755                                                                                          
NE      31153   00835898        Sarpy County    158840  61938   618982000       22099822             238.990           8.533     41.115064       -96.109125                                                                                         
NE      31155   00835899        Saunders County 20780   9221    1943096642      24827703             750.234           9.586     41.223152       -96.640923                                                                                       
NE      31157   00835900        Scotts Bluff County     36970   16408   1915039277      15437667             739.401           5.961     41.851589      -103.705860                                                                                  
NE      31159   00835901        Seward County   16750   6875    1479990428      11547843             571.428           4.459     40.871944       -97.140383                                                                                         
NE      31161   00835902        Sheridan County 5469    2936    6321803579      74941796            2440.862          28.935     42.507074      -102.389698                                                                                        
NE      31163   00835903        Sherman County  3152    1941    1465488702      15062176             565.828           5.816     41.218743       -98.972849                                                                                         
NE      31165   00835904        Sioux County    1311    815     5352832471      1872668     2066.740           0.723     42.483806      -103.742605                                                                                             
NE      31167   00835905        Stanton County  6129    2633    1108381561      7908749      427.949           3.054     41.904792       -97.174724                                                                                          
NE      31169   00835906        Thayer County   5228    2731    1486153333      3025346      573.807           1.168     40.173845       -97.596263                                                                                           
NE      31171   00835907        Thomas County   647     402     1847272741      2028358      713.236           0.783     41.848620      -100.506911                                                                                             
NE      31173   00835908        Thurston County 6940    2408    1019377309      6458637      393.584           2.494     42.154061       -96.533943                                                                                         
NE      31175   00835909        Valley County   4260    2273    1471237329      6242700      568.048           2.410     41.564094       -98.983484                                                                                           
NE      31177   00835910        Washington County       20234   8301    1009986004      8387694      389.958           3.239     41.533979       -96.224574                                                                                      
NE      31179   00835911        Wayne County    9595    3776    1147143891      1087727      442.915           0.420     42.210746       -97.126243                                                                                            
NE      31181   00835912        Webster County  3812    1912    1489018081      337241       574.913           0.130     40.180646       -98.498590                                                                                           
NE      31183   00835913        Wheeler County  818     576     1489715284      1059454      575.182           0.409     41.937859       -98.522289                                                                                            
NE      31185   00835914        York County     13665   6231    1482793088      8596028      572.510           3.319     40.873056       -97.596742                                                                                            
