USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
ID      16001   00395066        Ada County      392365  159471  2726158067      20424656            1052.576           7.886     43.447861      -116.244456                                                                                         
ID      16003   00395067        Adams County    3976    2636    3530298662      17392424            1363.056           6.715     44.884583      -116.431873                                                                                           
ID      16005   00395091        Bannock County  82839   33191   2880035137      91800788            1111.988          35.444     42.692938      -112.228986                                                                                       
ID      16007   00395090        Bear Lake County        5986    3914    2524680722      193273897            974.785          74.623     42.285833      -111.327445                                                                                      
ID      16009   00395190        Benewah County  9285    4629    2011429331      18988295             776.617           7.331     47.218451      -116.633541                                                                                         
ID      16011   00400593        Bingham County  45607   16141   5423378296      68447717            2093.978          26.428     43.216357      -112.399206                                                                                       
ID      16013   00395696        Blaine County   21376   15050   6846856430      44340529            2643.586          17.120     43.394482      -113.955290                                                                                        
ID      16015   00395157        Boise County    7028    5292    4919000288      19293275            1899.237           7.449     43.987275      -115.715110                                                                                           
ID      16017   00395158        Bonner County   40877   24669   4492523343      478955717           1734.573         184.926     48.312512      -116.596940                                                                                       
ID      16019   00395407        Bonneville County       104234  39731   4833116989      89506629            1866.077          34.559     43.395171      -111.621878                                                                                   
ID      16021   00395159        Boundary County 10972   5175    3285556291      24081041            1268.560           9.298     48.773065      -116.524619                                                                                       
ID      16023   00401703        Butte County    2891    1354    5779990424      5257716     2231.667           2.030     43.685100      -113.177627                                                                                            
ID      16025   00399408        Camas County    1117    831     2782925142      11535370            1074.493           4.454     43.463396      -114.804427                                                                                            
ID      16027   00399406        Canyon County   188923  69409   1521281478      41900334             587.370          16.178     43.623051      -116.708527                                                                                       
ID      16029   00395406        Caribou County  6963    3226    4569116224      89170677            1764.146          34.429     42.786273      -111.544171                                                                                         
ID      16031   00395698        Cassia County   22952   8372    6643528786      39370982            2565.081          15.201     42.288635      -113.605498                                                                                         
ID      16033   00399755        Clark County    982     531     4569218695      2476848     1764.185           0.956     44.286251      -112.361120                                                                                              
ID      16035   00395697        Clearwater County       8761    4453    6364309391      79544779            2457.274          30.712     46.672570      -115.653500                                                                                      
ID      16037   00399758        Custer County   4368    3103    12745176171     42386557            4920.940          16.366     44.273341      -114.252251                                                                                         
ID      16039   00400252        Elmore County   27038   12162   7963533304      67384705            3074.738          26.017     43.394826      -115.470751                                                                                        
ID      16041   00395585        Franklin County 12786   4528    1718831658      12169099             663.645           4.699     42.173589      -111.822955                                                                                       
ID      16043   00395408        Fremont County  13242   8531    4826508353      83291796            1863.525          32.159     44.218091      -111.484429                                                                                        
ID      16045   00395442        Gem County      16719   7099    1452724628      12445495             560.900           4.805     44.061473      -116.398784                                                                                            
ID      16047   00395441        Gooding County  15464   6093    1888031360      12289863             728.973           4.745     42.973185      -114.821420                                                                                        
ID      16049   00395699        Idaho County    16267   8744    21956239945     67335736            8477.352          25.998     45.849237      -115.467376                                                                                         
ID      16051   00399751        Jefferson County        26140   8722    2832154816      31267656            1093.501          12.073     43.796965      -112.318588                                                                                      
ID      16053   00395662        Jerome County   22374   8101    1546700901      12864129             597.185           4.967     42.691171      -114.263009                                                                                         
ID      16055   00395661        Kootenai County 138494  63177   3222267856      185180068           1244.125          71.498     47.677113      -116.694918                                                                                    
ID      16057   00395613        Latah County    37244   15988   2786815890      2372731     1075.996           0.916     46.818920      -116.730974                                                                                          
ID      16059   00399754        Lemhi County    7936    4729    11819118494     13894478            4563.387           5.365     44.928789      -113.887841                                                                                          
ID      16061   00395622        Lewis County    3821    1880    1240073685      2444478      478.795           0.944     46.236328      -116.423760                                                                                            
ID      16063   00395624        Lincoln County  5208    1976    3111625420      11608239            1201.405           4.482     42.986181      -114.153899                                                                                         
ID      16065   00394803        Madison County  37536   11280   1215237613      10412190             469.206           4.020     43.789709      -111.656550                                                                                       
ID      16067   00394807        Minidoka County 20069   7665    1962152486      13820933             757.591           5.336     42.856937      -113.640010                                                                                       
ID      16069   00399394        Nez Perce County        39265   17438   2196547487      21212976             848.092           8.190     46.333766      -116.760903                                                                                     
ID      16071   00399759        Oneida County   4286    1906    3108143349      3995379     1200.061           1.543     42.183890      -112.520465                                                                                           
ID      16073   00399760        Owyhee County   11526   4781    19853582270     81509222            7665.511          31.471     42.593063      -116.142655                                                                                        
ID      16075   00394896        Payette County  22623   8945    1053780320      8827481      406.867           3.408     44.002740      -116.748655                                                                                         
ID      16077   00394951        Power County    7817    2944    3636974257      99512615            1404.244          38.422     42.694126      -112.844407                                                                                           
ID      16079   01702379        Shoshone County 12765   7061    6810799882      14137045            2629.665           5.458     47.347694      -115.885092                                                                                       
ID      16081   00399297        Teton County    10170   5478    1164084404      2859304      449.456           1.104     43.760994      -111.211765                                                                                           
ID      16083   00399334        Twin Falls County       77230   31072   4975917336      18417854            1921.213           7.111     42.352309      -114.665639                                                                                    
ID      16085   00399756        Valley County   9862    11789   9491050481      177273029           3664.515          68.446     44.771532      -115.637875                                                                                        
ID      16087   00399757        Washington County       10198   4529    3763204795      53213072            1452.982          20.546     44.448213      -116.797830                                                                                     
