USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
OH      39001   01074014        Adams County    28550   12978   1512208946      6165954      583.867           2.381     38.841681       -83.474173                                                                                          
OH      39003   01074015        Allen County    106331  44999   1042458893      11275149             402.496           4.353     40.771528       -84.106546                                                                                        
OH      39005   01074016        Ashland County  53139   22141   1095434931      9969455      422.950           3.849     40.843274       -82.270121                                                                                        
OH      39007   01074017        Ashtabula County        101497  46099   1817993244      1724857052           701.931         665.971     41.906644       -80.745641                                                                                  
OH      39009   01074018        Athens County   64757   26385   1304313482      12542538             503.598           4.843     39.333848       -82.046008                                                                                        
OH      39011   01074019        Auglaize County 45949   19585   1039585234      1345187      401.386           0.519     40.561309       -84.224018                                                                                       
OH      39013   01065575        Belmont County  70400   32452   1378206525      23685679             532.129           9.145     40.017682       -80.967727                                                                                       
OH      39015   01074020        Brown County    44846   19301   1269135535      8898059      490.016           3.436     38.931377       -83.866772                                                                                          
OH      39017   01074021        Butler County   368130  148273  1209668470      7968185      467.056           3.077     39.439915       -84.565397                                                                                       
OH      39019   01074022        Carroll County  28836   13698   1022032078      11192671             394.609           4.322     40.579884       -81.090787                                                                                       
OH      39021   01074023        Champaign County        40097   16755   1110247425      3015688      428.669           1.164     40.132759       -83.767542                                                                                      
OH      39023   01074024        Clark County    138333  61419   1029450254      13089442             397.473           5.054     39.917032       -83.783676                                                                                        
OH      39025   01074025        Clermont County 197363  80656   1170933540      19855695             452.100           7.666     39.052084       -84.149614                                                                                     
OH      39027   01074026        Clinton County  42040   18133   1058487805      9351104      408.684           3.610     39.414041       -83.814542                                                                                        
OH      39029   01074027        Columbiana County       107841  47088   1377597314      7239848      531.893           2.795     40.768462       -80.777231                                                                                    
OH      39031   01074028        Coshocton County        36901   16545   1460529028      9244955      563.913           3.569     40.296720       -81.930112                                                                                      
OH      39033   01074029        Crawford County 43784   20167   1040620962      2359241      401.786           0.911     40.848508       -82.924771                                                                                       
OH      39035   01074030        Cuyahoga County 1280122 621763  1184118946      2041935958           457.191         788.396     41.760392       -81.724217                                                                                 
OH      39037   01074031        Darke County    52959   22730   1549072326      4291078      598.100           1.657     40.132176       -84.620438                                                                                          
OH      39039   01074032        Defiance County 39037   16729   1065675702      7069453      411.460           2.730     41.321679       -84.486433                                                                                       
OH      39041   01074033        Delaware County 174214  66378   1147617685      36859321             443.098          14.231     40.278941       -83.007462                                                                                     
OH      39043   01074034        Erie County     77079   37845   651531963       969767280            251.558         374.429     41.554006       -82.525897                                                                                          
OH      39045   01074035        Fairfield County        146156  58687   1306418559      10749604             504.411           4.150     39.752935       -82.628276                                                                                    
OH      39047   01074036        Fayette County  29030   12693   1052458662      1705305      406.357           0.658     39.553845       -83.459327                                                                                        
OH      39049   01074037        Franklin County 1163414 527186  1378361040      29318642             532.188          11.320     39.969447       -83.008258                                                                                   
