USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
GA      13001   00349113        Appling County  18236   8512    1313333924      13417422             507.081           5.180     31.739712       -82.290103                                                                                        
GA      13003   00345784        Atkinson County 8375    3522    878994487       13343157             339.382           5.152     31.300562       -82.883614                                                                                         
GA      13005   00344784        Bacon County    11096   4801    669707907       70568892             258.576          27.247     31.563327       -82.387859                                                                                           
GA      13007   00342832        Baker County    3451    1652    885629946       18634158             341.944           7.195     31.319622       -84.454857                                                                                            
GA      13009   00345255        Baldwin County  45720   20159   667812053       24779162             257.844           9.567     33.059532       -83.255362                                                                                        
GA      13011   00349230        Banks County    18395   7595    601112234       4651183      232.091           1.796     34.351922       -83.498441                                                                                            
GA      13013   00356976        Barrow County   69367   26400   415198674       6817600      160.309           2.632     33.992009       -83.712303                                                                                          
GA      13015   00351604        Bartow County   100157  39823   1190213681      27373871             459.544          10.569     34.240917       -84.838188                                                                                       
GA      13017   00351606        Ben Hill County 17634   7942    647809208       9807089      250.121           3.787     31.740775       -83.147190                                                                                         
GA      13019   00326638        Berrien County  19286   8709    1170407787      15503056             451.897           5.986     31.274308       -83.231906                                                                                        
GA      13021   01672039        Bibb County     155547  69662   646879637       14514058             249.762           5.604     32.808844       -83.694193                                                                                          
GA      13023   00347451        Bleckley County 13063   5304    559100179       8447354      215.870           3.262     32.435403       -83.331717                                                                                         
GA      13025   00351605        Brantley County 18411   8086    1145713216      12535638             442.362           4.840     31.197334       -81.982978                                                                                       
GA      13027   00345518        Brooks County   16243   7706    1276982395      12314550             493.046           4.755     30.833696       -83.588971                                                                                         
GA      13029   00350496        Bryan County    30233   11842   1129148153      47887043             435.967          18.489     32.017969       -81.438543                                                                                         
GA      13031   00350302        Bulloch County  70217   28794   1742568254      40963315             672.809          15.816     32.393408       -81.743810                                                                                       
GA      13033   00347944        Burke County    23316   9865    2141836337      20758796             826.968           8.015     33.063736       -82.003890                                                                                          
GA      13035   00352295        Butts County    23655   9357    477576117       9448312      184.393           3.648     33.290355       -83.958221                                                                                            
GA      13037   00344074        Calhoun County  6694    2409    726147317       8315704      280.367           3.211     31.521279       -84.626290                                                                                           
GA      13039   01671316        Camden County   50513   21114   1587727882      437293017            613.025         168.840     30.916358       -81.636516                                                                                       
GA      13043   00342852        Candler County  10998   4761    629480666       15058435             243.044           5.814     32.403986       -82.071446                                                                                         
GA      13045   00326650        Carroll County  110527  44607   1292600278      12327627             499.076           4.760     33.582237       -85.080527                                                                                      
