USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
OR      41001   01135845        Baker County    16134   8826    7947008933      51831394            3068.357          20.012     44.703427      -117.691933                                                                                          
OR      41003   01155126        Benton County   85579   36245   1750680238      6917958      675.941           2.671     44.490623      -123.426317                                                                                         
OR      41005   01155127        Clackamas County        375992  156945  4844112024      31827481            1870.322          12.289     45.160493      -122.195127                                                                                   
OR      41007   01135846        Clatsop County  37039   21546   2147227903      661312521            829.049         255.334     46.024509      -123.705014                                                                                      
OR      41009   01135847        Columbia County 49351   20698   1702546794      80219744             657.357          30.973     45.941932      -123.081079                                                                                      
OR      41011   01135848        Coos County     63043   30593   4134068696      544389499           1596.173         210.190     43.184193      -124.092557                                                                                         
OR      41013   01155128        Crook County    20978   10202   7715797890      21192731            2979.086           8.183     44.163054      -120.371585                                                                                         
OR      41015   01155129        Curry County    22364   12613   4215100613      934686544           1627.460         360.885     42.466671      -124.211407                                                                                        
OR      41017   01155130        Deschutes County        157733  80139   7817065156      94747043            3018.186          36.582     43.915118      -121.225575                                                                                    
OR      41019   01135849        Douglas County  107667  48915   13043372940     253020349           5036.075          97.692     43.285904      -123.154380                                                                                    
OR      41021   01135850        Gilliam County  1871    1156    3120439560      46700614            1204.809          18.031     45.381666      -120.211851                                                                                         
OR      41023   01135851        Grant County    7445    4344    11728867794     1893802     4528.541           0.731     44.496326      -119.014057                                                                                           
OR      41025   01135852        Harney County   7422    3835    26244789736     241492856          10133.170          93.241     43.064355      -118.985949                                                                                        
OR      41027   01155131        Hood River County       22346   9271    1351841432      29106836             521.949          11.238     45.511775      -121.655976                                                                                     
OR      41029   01135853        Jackson County  203206  90937   7209356169      46880700            2783.548          18.101     42.411782      -122.675797                                                                                      
OR      41031   01155132        Jefferson County        21720   9815    4612211364      26231709            1780.785          10.128     44.643790      -121.183021                                                                                      
OR      41033   01155133        Josephine County        82713   38001   4246719858      5644013     1639.668           2.179     42.385382      -123.597245                                                                                      
OR      41035   01155134        Klamath County  66380   32774   15387252316     503746014           5941.052         194.497     42.683761      -121.646168                                                                                     
OR      41037   01135854        Lake County     7895    4439    21079871249     567917619           8138.984         219.274     42.788401      -120.389790                                                                                          
OR      41039   01135855        Lane County     351715  156112  11792524334     437051225           4553.119         168.746     43.928276      -122.897678                                                                                      
OR      41041   01135856        Lincoln County  46034   30610   2537580591      554304210            979.765         214.018     44.641076      -123.911183                                                                                      
OR      41043   01135857        Linn County     116672  48821   5931407318      48773626            2290.129          18.832     44.494824      -122.543755                                                                                         
OR      41045   01135858        Malheur County  31313   11692   25608588996     109215531           9887.532          42.168     43.187700      -117.603976                                                                                     
OR      41047   01135859        Marion County   315335  120948  3062209653      26362209            1182.326          10.179     44.900898      -122.576260                                                                                      
OR      41049   01135860        Morrow County   11173   4442    5261843781      43778396            2031.609          16.903     45.425496      -119.602311                                                                                         
OR      41051   01135861        Multnomah County        735334  324832  1117054236      88853180             431.297          34.306     45.547693      -122.417173                                                                                   
OR      41053   01135862        Polk County     75403   30302   1918629058      8099319      740.787           3.127     44.904395      -123.397329                                                                                           
OR      41055   01135863        Sherman County  1765    918     2133357976      19403364             823.694           7.492     45.399216      -120.678512                                                                                          
OR      41057   01135864        Tillamook County        25250   18359   2855668955      596172498           1102.580         230.183     45.455743      -123.759327                                                                                    
OR      41059   01156673        Umatilla County 75889   29693   8328130471      41173770            3215.509          15.897     45.591200      -118.733880                                                                                      
OR      41061   01164165        Union County    25748   11489   5274784008      4995881     2036.606           1.929     45.304047      -117.999136                                                                                          
OR      41063   01155135        Wallowa County  7008    4108    8148590560      14199323            3146.189           5.482     45.593753      -117.185580                                                                                         
OR      41065   01155136        Wasco County    25213   11487   6168106312      35946723            2381.519          13.879     45.164536      -121.165069                                                                                         
OR      41067   01155137        Washington County       529710  212450  1875746999      5672547      724.230           2.190     45.553542      -123.097615                                                                                   
OR      41069   01135865        Wheeler County  1441    895     4441179416      1242192     1714.749           0.480     44.736411      -120.026875                                                                                           
OR      41071   01135866        Yamhill County  99193   37110   1854068926      6429807      715.860           2.483     45.248138      -123.316117                                                                                        
