USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
FL      12001   00308548        Alachua County  247336  112766  2266291505      242910527            875.020          93.788     29.675740       -82.357221                                                                                    
FL      12003   00306920        Baker County    27115   9687    1515741200      9686121      585.231           3.740     30.324442       -82.302284                                                                                           
FL      12005   00295738        Bay County      168852  99650   1964400618      711453131            758.459         274.694     30.237563       -85.631348                                                                                         
FL      12007   00303634        Bradford County 28520   11011   761356806       16904947             293.962           6.527     29.946934       -82.166796                                                                                       
FL      12009   00295749        Brevard County  543376  269864  2630557912      1402040884          1015.664         541.331     28.298275       -80.700384                                                                                   
FL      12011   00295753        Broward County  1748066 810388  3133329108      292869341           1209.785         113.077     26.193520       -80.476658                                                                                   
FL      12013   00306919        Calhoun County  14625   5999    1469389276      18074798             567.334           6.979     30.388801       -85.197915                                                                                        
FL      12015   00295742        Charlotte County        159978  100632  1761913582      461075444            680.279         178.022     26.868826       -81.940858                                                                                  
FL      12017   00295752        Citrus County   141236  78026   1506586255      496236304            581.696         191.598     28.843628       -82.524796                                                                                      
FL      12019   00295726        Clay County     190865  75478   1565286048      101496213            604.360          39.188     29.987115       -81.858147                                                                                        
FL      12021   00295754        Collier County  321520  197298  5175636190      794325489           1998.324         306.691     26.118713       -81.400884                                                                                    
FL      12023   00306909        Columbia County 67531   28636   2065707648      9722658      797.574           3.754     30.221305       -82.623127                                                                                       
FL      12027   00294452        DeSoto County   34862   14590   1649975818      6274597      637.059           2.423     27.190581       -81.806253                                                                                         
FL      12029   00295725        Dixie County    16422   9319    1826078949      410763739            705.053         158.597     29.580899       -83.195666                                                                                         
FL      12031   00293656        Duval County    864263  388486  1974068274      404712512            762.192         156.260     30.335245       -81.648113                                                                                      
FL      12033   00295737        Escambia County 297619  136703  1700226567      565247441            656.461         218.243     30.611664       -87.339040                                                                                   
FL      12035   00308547        Flagler County  95696   48595   1257337716      221090860            485.461          85.364     29.474894       -81.286362                                                                                      
FL      12037   00306911        Franklin County 11549   8652    1384930964      1273675839           534.725         491.769     29.810176       -84.799173                                                                                     
FL      12039   00306918        Gadsden County  46389   19506   1337293000      31587832             516.332          12.196     30.579169       -84.612783                                                                                       
FL      12041   00303633        Gilchrist County        16939   7307    905658580       14405662             349.677           5.562     29.723456       -82.795801                                                                                       
FL      12043   00295743        Glades County   12884   6979    2087553927      468370788            806.009         180.839     26.954810       -81.190820                                                                                        
FL      12045   00306917        Gulf County     15863   9110    1460784877      496109237            564.012         191.549     29.907257       -85.256537                                                                                          
FL      12047   00295736        Hamilton County 14799   5778    1330711074      13638327             513.790           5.266     30.491102       -82.951049                                                                                       
FL      12049   00295746        Hardee County   27731   9722    1651849564      1439672      637.783           0.556     27.492846       -81.821580                                                                                          
FL      12051   00307626        Hendry County   39140   14564   2985609243      96465484            1152.750          37.246     26.539340       -81.151584                                                                                        
FL      12053   00295751        Hernando County 172778  84504   1223869127      301688560            472.539         116.483     28.567911       -82.464835                                                                                    
FL      12055   00295756        Highlands County        98786   55386   2633020110      231596328           1016.615          89.420     27.342627       -81.340921                                                                                    
FL      12057   00295757        Hillsborough County     1229226 536092  2642341101      635973296           1020.214         245.551     27.906590       -82.349568                                                                              
FL      12059   00295735        Holmes County   19927   8641    1240027821      26598676             478.777          10.270     30.866222       -85.812959                                                                                         
FL      12061   00307624        Indian River County     138028  76346   1302431761      295606459            502.872         114.134     27.700638       -80.574803                                                                                
