USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
SD      46003   01266983        Aurora County   2710    1324    1834810993      11201377             708.425           4.325     43.724719       -98.577587                                                                                          
SD      46005   01266986        Beadle County   17398   8304    3260042792      15808033            1258.710           6.104     44.418265       -98.279422                                                                                         
SD      46007   01265812        Bennett County  3431    1263    3068381373      15010867            1184.709           5.796     43.184826      -101.676426                                                                                         
SD      46009   01266997        Bon Homme County        7070    2931    1459979006      46518947             563.701          17.961     42.986031       -97.885613                                                                                       
SD      46011   01265779        Brookings County        31965   13137   2051804629      32967600             792.206          12.729     44.376675       -96.797797                                                                                     
SD      46013   01265785        Brown County    36531   16706   4436601519      46541281            1712.981          17.970     45.589254       -98.352175                                                                                         
SD      46015   01265768        Brule County    5255    2433    2116641810      75721218             817.240          29.236     43.729880       -99.092941                                                                                           
SD      46017   01265767        Buffalo County  1912    609     1220880153      42362363             471.384          16.356     44.044306       -99.203998                                                                                          
SD      46019   01265793        Butte County    10110   4621    5827210184      42730857            2249.899          16.498     44.896434      -103.501762                                                                                          
SD      46021   01266974        Campbell County 1466    980     1900214239      96243759             733.677          37.160     45.782241      -100.027951                                                                                         
SD      46023   01266976        Charles Mix County      9129    3849    2842477063      136616767           1097.487          52.748     43.206185       -98.595143                                                                                    
SD      46025   01266985        Clark County    3691    1710    2480181644      25627350             957.604           9.895     44.855211       -97.724912                                                                                           
SD      46027   01265764        Clay County     13864   5639    1067554320      13079349             412.185           5.050     42.912997       -96.979795                                                                                           
SD      46029   01265791        Codington County        27227   12397   1783194146      74251733             688.495          28.669     44.966324       -97.198843                                                                                     
SD      46031   01265811        Corson County   4050    1540    6396472290      155287260           2469.692          59.957     45.698340      -101.176017                                                                                         
SD      46033   01265788        Custer County   8216    4628    4032615511      5482570     1557.002           2.117     43.684943      -103.462250                                                                                           
SD      46035   01266980        Davison County  19504   8852    1128083214      3533764      435.555           1.364     43.680439       -98.155868                                                                                         
SD      46037   01265790        Day County      5710    3630    2662166065      163751226           1027.868          63.225     45.362282       -97.593734                                                                                            
SD      46039   01265781        Deuel County    4364    2204    1612749834      36071554             622.686          13.927     44.756290       -96.690239                                                                                           
SD      46041   01266994        Dewey County    5301    2002    5963433068      369822155           2302.494         142.789     45.150005      -100.852218                                                                                          
SD      46043   01266978        Douglas County  3002    1439    1118361831      4832944      431.802           1.866     43.391506       -98.358433                                                                                          
SD      46045   01266972        Edmunds County  4071    1966    2916212724      65038303            1125.956          25.111     45.411680       -99.205362                                                                                         
SD      46047   01265787        Fall River County       7094    4191    4506359351      23911034            1739.915           9.232     43.221504      -103.512102                                                                                      
SD      46049   01265760        Faulk County    2364    1136    2542720920      62704066             981.750          24.210     45.065476       -99.153564                                                                                           
SD      46051   01265782        Grant County    7356    3526    1764967869      15746365             681.458           6.080     45.172637       -96.772261                                                                                           
SD      46053   01265765        Gregory County  4271    2503    2628726426      99900067            1014.957          38.572     43.179094       -99.202158                                                                                         
SD      46055   01266988        Haakon County   1937    1013    4689260217      42451846            1810.534          16.391     44.284312      -101.591789                                                                                          
SD      46057   01265766        Hamlin County   5903    2760    1313721910      79873525             507.231          30.839     44.680619       -97.178598                                                                                          
SD      46059   01265783        Hand County     3431    1815    3720811266      9237228     1436.613           3.567     44.546713       -99.004575                                                                                             
SD      46061   01266979        Hanson County   3331    1177    1125383169      2232493      434.513           0.862     43.680612       -97.796845                                                                                           
SD      46063   01265792        Harding County  1255    731     6918829169      16956332            2671.375           6.547     45.596612      -103.473867                                                                                          
SD      46065   01265774        Hughes County   17022   7623    1920631032      153258012            741.560          59.173     44.392258       -99.985846                                                                                        
SD      46067   01265771        Hutchinson County       7343    3351    2105412805      3928767      812.904           1.517     43.336710       -97.749383                                                                                       
SD      46069   01266984        Hyde County     1420    708     2228747897      14541548             860.524           5.615     44.537301       -99.492148                                                                                             
SD      46071   01265794        Jackson County  3031    1193    4827514117      19097720            1863.914           7.374     43.677294      -101.626454                                                                                         
