USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
TN      47001   01639722        Anderson County 75129   34717   873245292       19771988             337.162           7.634     36.116731       -84.195418                                                                                       
TN      47003   01639723        Bedford County  45058   18360   1226710123      2983154      473.635           1.152     35.513660       -86.458294                                                                                        
TN      47005   01639724        Benton County   16489   8975    1020822586      109009079            394.142          42.089     36.069253       -88.071212                                                                                        
TN      47007   01639725        Bledsoe County  12876   5718    1052635810      838365       406.425           0.324     35.593668       -85.205979                                                                                          
TN      47009   01639726        Blount County   123010  55266   1447041818      20307831             558.706           7.841     35.688185       -83.922973                                                                                       
TN      47011   01639727        Bradley County  98963   41395   851489045       6959355      328.762           2.687     35.153914       -84.859414                                                                                         
TN      47013   01639728        Campbell County 40716   19966   1243689525      46503453             480.191          17.955     36.401592       -84.159249                                                                                      
TN      47015   01648572        Cannon County   13801   6037    687991703       156872       265.635           0.061     35.808394       -86.062404                                                                                            
TN      47017   01639729        Carroll County  28522   13184   1552055889      2144122      599.252           0.828     35.967896       -88.451659                                                                                        
TN      47019   01639730        Carter County   57424   27746   883711484       16656931             341.203           6.431     36.284744       -82.126593                                                                                         
TN      47021   01639731        Cheatham County 39105   15663   783308267       11964151             302.437           4.619     36.255180       -87.100816                                                                                       
TN      47023   01639732        Chester County  17131   6980    740052043       575590       285.736           0.222     35.416639       -88.605505                                                                                           
TN      47025   01639733        Claiborne County        32213   14859   1125555951      18116086             434.580           6.995     36.501557       -83.660723                                                                                     
TN      47027   01648573        Clay County     7861    4282    612626617       59071040             236.536          22.807     36.545765       -85.545718                                                                                             
TN      47029   01639734        Cocke County    35662   17459   1125518964      22196995             434.565           8.570     35.916198       -83.119223                                                                                         
TN      47031   01639735        Coffee County   52796   23434   1110993322      14496456             428.957           5.597     35.488759       -86.078219                                                                                        
TN      47033   01648574        Crockett County 14586   6425    687731312       529234       265.535           0.204     35.811312       -89.135349                                                                                          
TN      47035   01639736        Cumberland County       56053   28151   1763847584      9825917      681.025           3.794     35.952398       -84.994761                                                                                     
TN      47037   01639737        Davidson County 626681  283978  1305438546      56749226             504.033          21.911     36.169129       -86.784790                                                                                    
