USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
MA      25001   00606927        Barnstable County       215888  160281  1019738402      2361587952           393.723         911.814     41.798819       -70.211083                                                                                
MA      25003   00606928        Berkshire County        131219  68508   2400465435      50772406             926.825          19.603     42.375314       -73.213948                                                                                    
MA      25005   00606929        Bristol County  548285  230535  1432510950      357753895            553.096         138.130     41.748576       -71.087062                                                                                    
MA      25007   00606930        Dukes County    16535   17188   267403794       1004180155           103.245         387.716     41.380939       -70.701536                                                                                        
MA      25009   00606931        Essex County    743159  306754  1275732137      870004713            492.563         335.911     42.642711       -70.865107                                                                                      
MA      25011   00606932        Franklin County 71372   33758   1811228845      65410658             699.319          25.255     42.583791       -72.591655                                                                                      
MA      25013   00606933        Hampden County  463490  192175  1598385896      44316925             617.140          17.111     42.136198       -72.635648                                                                                     
MA      25015   00606934        Hampshire County        158080  62603   1365585170      46500379             527.255          17.954     42.339459       -72.663694                                                                                    
MA      25017   00606935        Middlesex County        1503085 612004  2118135038      75739760             817.817          29.243     42.479477       -71.396507                                                                                  
MA      25019   00606936        Nantucket County        10172   11618   116471398       669992419             44.970         258.686     41.305878       -70.141910                                                                                     
MA      25021   00606937        Norfolk County  670850  270359  1025908386      124944841            396.105          48.241     42.169702       -71.179875                                                                                    
MA      25023   00606938        Plymouth County 494919  200161  1706996627      1124514393           659.075         434.177     41.987196       -70.741942                                                                                  
MA      25025   00606939        Suffolk County  722023  315522  150618894       160748611             58.154          62.065     42.331960       -71.020173                                                                                     
MA      25027   00606940        Worcester County        798552  326788  3912876833      177216729           1510.770          68.424     42.311693       -71.940282                                                                                  
