USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
MS      28001   00695726        Adams County    32297   14656   1197628202      65113803             462.407          25.141     31.486218       -91.351781                                                                                         
MS      28003   00711755        Alcorn County   37057   17077   1036092671      3425827      400.038           1.323     34.886648       -88.581014                                                                                         
MS      28005   00695727        Amite County    13131   6635    1890950982      3877858      730.100           1.497     31.203933       -90.795542                                                                                           
MS      28007   00695728        Attala County   19564   9126    1903594473      4421428      734.982           1.707     33.090470       -89.588622                                                                                          
MS      28009   00695729        Benton County   8729    4186    1053131367      5279205      406.616           2.038     34.810773       -89.200029                                                                                           
MS      28011   00695730        Bolivar County  34145   14070   2270314566      75742120             876.573          29.244     33.799278       -90.884476                                                                                       
MS      28013   00695731        Calhoun County  14962   6913    1519218090      3590400      586.573           1.386     33.936634       -89.337114                                                                                         
MS      28015   00695732        Carroll County  10597   5052    1627140835      16426885             628.243           6.342     33.440795       -89.918887                                                                                        
MS      28017   00695733        Chickasaw County        17392   7514    1299602163      6388917      501.779           2.467     33.921654       -88.945808                                                                                       
MS      28019   00695734        Choctaw County  8547    4150    1083074478      4345757      418.177           1.678     33.345964       -89.251332                                                                                          
MS      28021   00695735        Claiborne County        9604    4223    1262375165      35735962             487.406          13.798     31.972810       -90.915424                                                                                       
MS      28023   00695736        Clarke County   16732   7876    1791117740      5129339      691.554           1.980     32.048448       -88.685964                                                                                          
MS      28025   00695737        Clay County     20634   9180    1062093753      15355523             410.077           5.929     33.661734       -88.783326                                                                                           
MS      28027   00695738        Coahoma County  26151   10792   1430818231      79539470             552.442          30.710     34.228670       -90.603165                                                                                       
MS      28029   00695739        Copiah County   29449   12184   2013052970      5751013      777.244           2.220     31.866915       -90.448758                                                                                         
MS      28031   00695740        Covington County        19568   8496    1071716796      2948833      413.792           1.139     31.633331       -89.548897                                                                                       
MS      28033   00695741        DeSoto County   161252  61634   1233210616      54041937             476.145          20.866     34.874266       -89.993240                                                                                       
MS      28035   00695742        Forrest County  74934   32289   1207748039      10150274             466.314           3.919     31.188580       -89.259447                                                                                       
MS      28037   00695743        Franklin County 8118    4154    1460181336      7728355      563.779           2.984     31.477798       -90.895884                                                                                         
MS      28039   00695744        George County   22578   9330    1239849234      12806128             478.708           4.944     30.855431       -88.642268                                                                                         
MS      28041   00695745        Greene County   14400   5123    1846027833      15386763             712.755           5.941     31.212846       -88.634811                                                                                         
MS      28043   00695746        Grenada County  21906   10155   1093251406      70698555             422.107          27.297     33.770031       -89.802740                                                                                       
MS      28045   00711756        Hancock County  43929   21840   1227002554      203966042            473.748          78.752     30.391437       -89.479850                                                                                      
MS      28047   00695747        Harrison County 187105  85181   1486637454      1041633627           573.994         402.177     30.416536       -89.083376                                                                                   
MS      28049   00695748        Hinds County    245285  103421  2252618859      19556755             869.741           7.551     32.267923       -90.465900                                                                                       
MS      28051   00695749        Holmes County   19198   8415    1959840949      20509212             756.699           7.919     33.125942       -90.091197                                                                                         
MS      28053   00695750        Humphreys County        9375    3855    1083886754      33003099             418.491          12.743     33.132978       -90.523911                                                                                       
MS      28055   00695751        Issaquena County        1406    560     1069781903      73507406             413.045          28.381     32.754977       -90.988552                                                                                        
MS      28057   00695752        Itawamba County 23401   10126   1379911657      19847169             532.787           7.663     34.281075       -88.363127                                                                                      
MS      28059   00695753        Jackson County  139668  60067   1871923538      830458907            722.754         320.642     30.458491       -88.619991                                                                                     
MS      28061   00695754        Jasper County   17062   8212    1751461017      3181592      676.243           1.228     32.016989       -89.119430                                                                                          
MS      28063   00695755        Jefferson County        7726    3673    1346620575      18988093             519.933           7.331     31.733633       -91.043878                                                                                       
MS      28065   00695756        Jefferson Davis County  12487   5876    1057862259      1800965      408.443           0.695     31.564734       -89.826626                                                                                 
MS      28067   00695757        Jones County    67761   28424   1799510829      12724862             694.795           4.913     31.621044       -89.167262                                                                                         
MS      28069   00695758        Kemper County   10456   4722    1984403181      2182347      766.182           0.843     32.750136       -88.625631                                                                                          
MS      28071   00695759        Lafayette County        47351   22729   1636116444      123022249            631.708          47.499     34.349298       -89.485903                                                                                    
MS      28073   00695760        Lamar County    55658   24070   1287367637      8749351      497.055           3.378     31.197135       -89.514952                                                                                          
MS      28075   00695761        Lauderdale County       80261   34698   1822402881      29835947             703.634          11.520     32.403998       -88.660449                                                                                    
MS      28077   00695762        Lawrence County 12929   6019    1115424285      13213420             430.668           5.102     31.550009       -90.107530                                                                                       
MS      28079   00695763        Leake County    23805   9415    1509963962      6414131      583.000           2.477     32.753268       -89.522568                                                                                           
MS      28081   00695764        Lee County      82910   35872   1165367603      8349403      449.951           3.224     34.288965       -88.680887                                                                                            
MS      28083   00695765        Leflore County  32317   13199   1534668183      35847069             592.539          13.841     33.549790       -90.294934                                                                                       
MS      28085   00695766        Lincoln County  34869   15255   1518030804      5334341      586.115           2.060     31.535216       -90.453566                                                                                        
MS      28087   00695767        Lowndes County  59779   26556   1309262931      28374834             505.509          10.956     33.471424       -88.439723                                                                                       
MS      28089   00695768        Madison County  95203   38558   1850562626      70638762             714.506          27.274     32.634370       -90.034160                                                                                       
MS      28091   00695769        Marion County   27088   11838   1404766851      16152552             542.384           6.237     31.230126       -89.821736                                                                                        
MS      28093   00695770        Marshall County 37144   14881   1829030244      9254534      706.193           3.573     34.766190       -89.504231                                                                                       
MS      28095   00695771        Monroe County   36989   16455   1981584651      18134176             765.094           7.002     33.890030       -88.485038                                                                                        
MS      28097   00711757        Montgomery County       10925   5194    1054074954      2352272      406.981           0.908     33.500714       -89.639625                                                                                      
MS      28099   00695772        Neshoba County  29676   12357   1476657637      3814277      570.141           1.473     32.752518       -89.119274                                                                                        
MS      28101   00695773        Newton County   21720   9373    1497282694      3879399      578.104           1.498     32.401970       -89.118412                                                                                          
MS      28103   00695774        Noxubee County  11545   5170    1800400143      12539541             695.138           4.842     33.106270       -88.565787                                                                                        
MS      28105   00695775        Oktibbeha County        47671   20947   1186733896      9665139      458.201           3.732     33.422313       -88.876151                                                                                      
MS      28107   00695776        Panola County   34707   14697   1774515519      51767046             685.144          19.987     34.365205       -89.963065                                                                                        
MS      28109   00695777        Pearl River County      55834   23968   2100125644      20836787             810.863           8.045     30.773791       -89.586831                                                                                   
MS      28111   00695778        Perry County    12250   5519    1676373773      7640180      647.252           2.950     31.169307       -88.988755                                                                                           
MS      28113   00711758        Pike County     40404   17861   1059342907      4348109      409.015           1.679     31.177517       -90.397725                                                                                           
MS      28115   00695803        Pontotoc County 29957   12440   1289009028      8630228      497.689           3.332     34.227081       -89.037239                                                                                       
MS      28117   00695779        Prentiss County 25276   11054   1074793690      8338031      414.980           3.219     34.620866       -88.522240                                                                                       
MS      28119   00695780        Quitman County  8223    3589    1048977108      3676001      405.012           1.419     34.252640       -90.290525                                                                                          
MS      28121   00695781        Rankin County   141617  56487   2008496804      79255480             775.485          30.601     32.262057       -89.946552                                                                                       
MS      28123   00695782        Scott County    28264   11470   1577781371      3122208      609.185           1.205     32.427127       -89.533209                                                                                          
MS      28125   00695783        Sharkey County  4916    2100    1118149626      8806466      431.720           3.400     32.892490       -90.827388                                                                                          
MS      28127   00695784        Simpson County  27503   11934   1525925833      3383248      589.163           1.306     31.902503       -89.917707                                                                                        
MS      28129   00695785        Smith County    16491   7237    1647885256      2640270      636.252           1.019     32.019033       -89.494973                                                                                           
MS      28131   00695786        Stone County    17786   7161    1153800111      6712392      445.485           2.592     30.790184       -89.112297                                                                                           
MS      28133   00695787        Sunflower County        29450   9685    1807175516      23758961             697.754           9.173     33.605529       -90.595090                                                                                      
MS      28135   00695788        Tallahatchie County     15378   5530    1671287200      17751357             645.288           6.854     33.955891       -90.172833                                                                                   
MS      28137   00695789        Tate County     28886   10947   1048320034      16092718             404.759           6.213     34.649553       -89.943105                                                                                          
MS      28139   00695790        Tippah County   22232   9696    1185734808      5542365      457.815           2.140     34.763618       -88.918819                                                                                          
MS      28141   00695791        Tishomingo County       19593   10295   1098813904      52484941             424.254          20.265     34.737699       -88.236067                                                                                    
MS      28143   00695792        Tunica County   10778   4803    1177584065      67492130             454.668          26.059     34.652201       -90.371770                                                                                         
MS      28145   00695793        Union County    27134   11520   1076394333      3387488      415.598           1.308     34.489101       -89.002300                                                                                          
MS      28147   00695794        Walthall County 15443   7132    1046210318      1195916      403.944           0.462     31.164492       -90.103431                                                                                        
MS      28149   00695795        Warren County   48773   21896   1524210117      77836802             588.501          30.053     32.357005       -90.851791                                                                                        
MS      28151   00695796        Washington County       51137   21708   1877071141      94495559             724.741          36.485     33.273131       -90.944430                                                                                    
MS      28153   00695797        Wayne County    20747   9213    2099832593      7168386      810.750           2.768     31.644760       -88.682057                                                                                           
MS      28155   00695798        Webster County  10253   4804    1090230505      5938458      420.940           2.293     33.612048       -89.283836                                                                                         
MS      28157   00695799        Wilkinson County        9878    5037    1756287189      25019030             678.106           9.660     31.160249       -91.325567                                                                                       
MS      28159   00695800        Winston County  19198   8745    1572757155      7357963      607.245           2.841     33.078724       -89.037391                                                                                         
MS      28161   00695801        Yalobusha County        12678   6344    1209858331      72197034             467.129          27.875     34.030669       -89.703793                                                                                      
MS      28163   00695802        Yazoo County    28065   10074   2390421148      29316416             922.947          11.319     32.765675       -90.387928                                                                                         
