USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
MI      26001   01622943        Alcona County   10942   11073   1747168145      2890419533           674.585        1115.997     44.682535       -82.834080                                                                                      
MI      26003   01622944        Alger County    9601    6554    2370019042      10703554733          915.070        4132.666     47.080077       -86.564108                                                                                        
MI      26005   01622945        Allegan County  111408  49426   2137337922      2610856790           825.231        1008.057     42.595787       -86.634745                                                                                    
MI      26007   01622946        Alpena County   29598   16053   1481110566      2908717141           571.860        1123.062     44.894954       -83.426574                                                                                      
MI      26009   01622947        Antrim County   23580   17824   1232064018      326513140            475.703         126.067     45.005456       -85.175625                                                                                       
MI      26011   01622948        Arenac County   15899   9803    940660726       822319209            363.191         317.499     44.036870       -83.740675                                                                                         
MI      26013   01622949        Baraga County   8860    5270    2326474801      441629543            898.257         170.514     46.696068       -88.356022                                                                                         
MI      26015   01622950        Barry County    59173   27010   1432500402      62029172             553.092          23.950     42.582811       -85.314550                                                                                         
MI      26017   01622951        Bay County      107771  48220   1145557748      487991946            442.302         188.415     43.699711       -83.978701                                                                                         
MI      26019   01622952        Benzie County   17525   12199   828028289       1398240608           319.704         539.864     44.648621       -86.494317                                                                                       
MI      26021   01622953        Berrien County  156813  76922   1470457874      2625535357           567.747        1013.725     41.792639       -86.741822                                                                                    
MI      26023   01622954        Branch County   45248   20841   1311488743      34465281             506.369          13.307     41.918585       -85.066523                                                                                        
MI      26025   01622955        Calhoun County  136146  61042   1829135298      31390284             706.233          12.120     42.242990       -85.012385                                                                                      
MI      26027   01622956        Cass County     52293   25887   1269253670      47281098             490.062          18.255     41.916240       -85.999457                                                                                          
MI      26029   01622957        Charlevoix County       25949   17249   1078313350      2522971210           416.339         974.125     45.513164       -85.450392                                                                                  
MI      26031   01622958        Cheboygan County        26152   18298   1852525483      440605827            715.264         170.119     45.476120       -84.495271                                                                                    
MI      26033   01622959        Chippewa County 38520   21253   4036289692      2952509199          1558.420        1139.970     46.321819       -84.520630                                                                                    
MI      26035   01622960        Clare County    30926   23233   1461569881      28552600             564.315          11.024     43.991137       -84.838325                                                                                         
MI      26037   01622961        Clinton County  75382   30695   1466991079      21106494             566.408           8.149     42.950455       -84.591695                                                                                       
MI      26039   01622962        Crawford County 14074   11092   1440758147      18031692             556.280           6.962     44.680208       -84.611132                                                                                      
MI      26041   01622963        Delta County    37069   20214   3033124287      2124381333          1171.096         820.228     45.805101       -86.901373                                                                                       
MI      26043   01622964        Dickinson County        26168   13990   1972018016      40533105             761.400          15.650     46.012823       -87.866119                                                                                     
MI      26045   01622965        Eaton County    107759  47050   1489695507      11028096             575.175           4.258     42.589614       -84.846524                                                                                        
MI      26047   01622966        Emmet County    32694   21304   1210803605      1073558172           467.494         414.503     45.590094       -84.986822                                                                                       
MI      26049   01622967        Genesee County  425790  192180  1649763682      32658914             636.977          12.610     43.021077       -83.706372                                                                                     
MI      26051   01622968        Gladwin County  25692   17672   1299601369      36650228             501.779          14.151     43.989750       -84.389816                                                                                       
MI      26053   01622969        Gogebic County  16427   10795   2853775286      969936900           1101.849         374.495     46.488054       -89.788314                                                                                      
MI      26055   01622970        Grand Traverse County   86986   41599   1202611911      354786289            464.331         136.984     44.718688       -85.553848                                                                               
MI      26057   01622971        Gratiot County  42476   16339   1472313856      8150717      568.464           3.147     43.292326       -84.604690                                                                                        
MI      26059   01622972        Hillsdale County        46688   21757   1549158422      22980609             598.133           8.873     41.864475       -84.642409                                                                                     
MI      26061   01622973        Houghton County 36628   18636   2613554735      1275314652          1009.099         492.402     46.998305       -88.652066                                                                                    
MI      26063   01622974        Huron County    33118   21199   2164469622      3369824158           835.706        1301.096     43.907616       -82.857045                                                                                       
MI      26065   01622975        Ingham County   280895  121281  1440343968      11894285             556.120           4.592     42.603534       -84.373811                                                                                      
MI      26067   01622976        Ionia County    63905   24778   1479671240      22641747             571.304           8.742     42.944650       -85.073766                                                                                         
MI      26069   01622977        Iosco County    25887   20443   1422153154      3473073181           549.096        1340.961     44.329482       -82.849447                                                                                       
