USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
SC      45001   01245666        Abbeville County        25417   12079   1270347571      53116146             490.484          20.508     34.213809       -82.460460                                                                                     
SC      45003   01247979        Aiken County    160099  72249   2773965154      24764187            1071.034           9.562     33.549317       -81.633870                                                                                        
SC      45005   01247980        Allendale County        10419   4486    1056948617      11208072             408.090           4.327     32.979784       -81.363421                                                                                      
SC      45007   01247981        Anderson County 187126  84774   1852945207      108805903            715.426          42.010     34.519549       -82.638086                                                                                    
SC      45009   01247982        Bamberg County  15987   7716    1018822336      5679056      393.370           2.193     33.203021       -81.053161                                                                                         
SC      45011   01247983        Barnwell County 22621   10484   1420330485      22972577             548.393           8.870     33.260680       -81.433753                                                                                      
SC      45013   01247984        Beaufort County 162233  93023   1492559284      899026998            576.280         347.116     32.358147       -80.689320                                                                                    
SC      45015   01247985        Berkeley County 177843  73372   2846025358      337682749           1098.857         130.380     33.207700       -79.953655                                                                                    
SC      45017   01247986        Calhoun County  15175   7340    987176844       29350934             381.151          11.332     33.674780       -80.780347                                                                                         
SC      45019   01252740        Charleston County       350209  169984  2372659352      1144534759           916.089         441.907     32.800458       -79.942480                                                                                
SC      45021   01247987        Cherokee County 55342   23997   1016981703      11705005             392.659           4.519     35.049796       -81.607647                                                                                      
SC      45023   01247988        Chester County  33140   14701   1503894983      14261785             580.657           5.507     34.689345       -81.161249                                                                                       
SC      45025   01247989        Chesterfield County     46734   21482   2069595909      17274489             799.075           6.670     34.637018       -80.159227                                                                                  
SC      45027   01247990        Clarendon County        34971   17467   1571958092      229766623            606.936          88.713     33.664682       -80.217889                                                                                    
SC      45029   01247991        Colleton County 38892   19901   2736299047      198897561           1056.491          76.795     32.834980       -80.655345                                                                                     
SC      45031   01247992        Darlington County       68681   30297   1453380435      14637405             561.153           5.652     34.332185       -79.962115                                                                                    
SC      45033   01247993        Dillon County   32062   13742   1048614230      4454688      404.872           1.720     34.390172       -79.374964                                                                                         
SC      45035   01247998        Dorchester County       136555  55186   1484665975      6664942      573.233           2.573     33.082186       -80.404697                                                                                    
SC      45037   01247999        Edgefield County        26985   10559   1296046259      16300263             500.406           6.294     33.776498       -81.968245                                                                                     
SC      45039   01248000        Fairfield County        23956   11681   1777449480      61135042             686.277          23.604     34.395669       -81.127001                                                                                     
SC      45041   01248001        Florence County 136885  58666   2071897847      9740547      799.964           3.761     34.028535       -79.710233                                                                                      
SC      45043   01248002        Georgetown County       60158   33672   2107076193      572646611            813.547         221.100     33.417530       -79.300812                                                                                   
SC      45045   01245489        Greenville County       451225  195462  2033451179      25241099             785.120           9.746     34.892645       -82.372077                                                                                  
SC      45047   01248003        Greenwood County        69661   31054   1177734978      21238099             454.726           8.200     34.155796       -82.127876                                                                                     
SC      45049   01248004        Hampton County  21090   9140    1450123027      7276754      559.896           2.810     32.778323       -81.143362                                                                                         
SC      45051   01248005        Horry County    269291  185992  2936777435      313664031           1133.896         121.106     33.909269       -78.976675                                                                                      
SC      45053   01248006        Jasper County   24777   10299   1697265756      114074682            655.318          44.044     32.430590       -81.021627                                                                                       
SC      45055   01248007        Kershaw County  61697   27478   1881787617      35827949             726.562          13.833     34.338356       -80.590885                                                                                       
SC      45057   01248008        Lancaster County        76652   32687   1422317473      15441829             549.160           5.962     34.686818       -80.703688                                                                                     
SC      45059   01248009        Laurens County  66537   30709   1848742669      25990687             713.804          10.035     34.483477       -82.005657                                                                                       
SC      45061   01245652        Lee County      19220   7775    1062372545      2715075      410.184           1.048     34.158640       -80.251209                                                                                             
SC      45063   01244251        Lexington County        262391  113957  1810175317      152333538            698.913          58.816     33.892554       -81.272853                                                                                  
SC      45065   01248012        McCormick County        10233   5453    930141770       89983100             359.130          34.743     33.897605       -82.316192                                                                                       
SC      45067   01248010        Marion County   33062   14953   1267092919      12712407             489.227           4.908     34.080701       -79.362131                                                                                        
SC      45069   01248011        Marlboro County 28933   12072   1242350170      14504245             479.674           5.600     34.601805       -79.677942                                                                                      
SC      45071   01248013        Newberry County 37508   17922   1631788278      44675199             630.037          17.249     34.289730       -81.600053                                                                                      
SC      45073   01244832        Oconee County   74273   38763   1622196811      122191920            626.334          47.179     34.748758       -83.061522                                                                                       
SC      45075   01248014        Orangeburg County       92501   42504   2864787762      56464867            1106.101          21.801     33.436135       -80.802913                                                                                    
SC      45077   01248015        Pickens County  119224  51244   1285687489      40460184             496.407          15.622     34.887362       -82.725368                                                                                      
SC      45079   01249299        Richland County 384504  161725  1960797690      37925712             757.068          14.643     34.029783       -80.896566                                                                                    
SC      45081   01248016        Saluda County   19875   9289    1172690632      23419287             452.778           9.042     34.005278       -81.727903                                                                                         
SC      45083   01248592        Spartanburg County      284307  122628  2092518606      29310216             807.926          11.317     34.933239       -81.991053                                                                                 
SC      45085   01244717        Sumter County   107456  46011   1722512472      44079489             665.066          17.019     33.916046       -80.382472                                                                                       
SC      45087   01248017        Union County    28961   14153   1331696606      4805084      514.171           1.855     34.690514       -81.615831                                                                                          
SC      45089   01248018        Williamsburg County     34423   15359   2419459980      7469407      934.159           2.884     33.626463       -79.716475                                                                                   
SC      45091   01248019        York County     226073  94196   1762732402      39400683             680.595          15.213     34.970190       -81.183188                                                                                         
