USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
NH      33001   00873174        Belknap County  60088   37386   1036596332      177025146            400.232          68.350     43.519109       -71.425366                                                                                      
NH      33003   00873175        Carroll County  47818   39813   2411436914      158956015            931.061          61.373     43.867567       -71.201665                                                                                      
NH      33005   00873176        Cheshire County 77117   34773   1830241632      58115492             706.660          22.439     42.925455       -72.248217                                                                                      
NH      33007   00873177        Coos County     33055   21321   4648212655      90777672            1794.685          35.049     44.652419       -71.289383                                                                                          
NH      33009   00873178        Grafton County  89118   51120   4425640635      105662058           1708.749          40.796     43.926488       -71.842264                                                                                      
NH      33011   00873179        Hillsborough County     400721  166053  2269188527      41636576             876.139          16.076     42.911643       -71.723101                                                                                
NH      33013   00873180        Merrimack County        146445  63541   2419349805      57836323             934.116          22.331     43.299485       -71.680130                                                                                    
NH      33015   00873181        Rockingham County       295223  126709  1799316831      260008473            694.720         100.390     42.989360       -71.099437                                                                                 
NH      33017   00873182        Strafford County        123143  51697   955640569       38918908             368.975          15.027     43.293177       -71.035927                                                                                     
NH      33019   00873183        Sullivan County 43742   22341   1391635377      38022493             537.313          14.681     43.361188       -72.222084                                                                                      
