USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
WV      54001   01696996        Barbour County  16589   7849    883338809       4639186      341.059           1.791     39.139754       -79.996914                                                                                          
WV      54003   01550008        Berkeley County 104169  44762   831754462       1074157      321.142           0.415     39.457854       -78.032338                                                                                       
WV      54005   01550009        Boone County    24629   11070   1298991045      4282300      501.543           1.653     38.022838       -81.713314                                                                                          
WV      54007   01550010        Braxton County  14523   7415    1322996847      14144309             510.812           5.461     38.699302       -80.731649                                                                                        
WV      54009   01558262        Brooke County   24069   10967   231038789       8720599       89.205           3.367     40.272645       -80.578691                                                                                          
WV      54011   01550012        Cabell County   96319   46169   727832268       18127980             281.018           6.999     38.419580       -82.243392                                                                                         
WV      54013   01696945        Calhoun County  7627    3963    723252287       3704590      279.249           1.430     38.844159       -81.115478                                                                                           
WV      54015   01550014        Clay County     9386    4572    885522451       4957435      341.902           1.914     38.459826       -81.081866                                                                                              
WV      54017   01689476        Doddridge County        8202    3946    828070906       1958441      319.720           0.756     39.263482       -80.701147                                                                                         
WV      54019   01560095        Fayette County  46039   21618   1713406009      17606569             661.550           6.798     38.030933       -81.086051                                                                                       
WV      54021   01689673        Gilmer County   8693    3448    876717515       4082546      338.503           1.576     38.915865       -80.849409                                                                                            
WV      54023   01697238        Grant County    11937   6366    1236391168      7545463      477.373           2.913     39.105988       -79.195064                                                                                           
WV      54025   01557518        Greenbrier County       35480   18980   2640671499      12796750            1019.569           4.941     37.924418       -80.450590                                                                                    
WV      54027   01718644        Hampshire County        23964   13688   1658236572      11343541             640.249           4.380     39.312139       -78.611989                                                                                     
WV      54029   01560574        Hancock County  30676   14541   213957204       13879374              82.609           5.359     40.516931       -80.570056                                                                                        
WV      54031   01718557        Hardy County    14025   8078    1508182025      5624848      582.312           2.172     39.010818       -78.843641                                                                                           
WV      54033   01718426        Harrison County 69099   31431   1077454759      1320333      416.008           0.510     39.279199       -80.386487                                                                                       
WV      54035   01559963        Jackson County  29211   13305   1202654983      18858918             464.348           7.281     38.834234       -81.677717                                                                                       
WV      54037   01550025        Jefferson County        53498   22037   542951079       5274680      209.635           2.037     39.307398       -77.863220                                                                                       
WV      54039   01550026        Kanawha County  193063  92618   2335100448      24173038             901.587           9.333     38.328061       -81.523522                                                                                      
WV      54041   01550027        Lewis County    16372   7958    996874721       12305530             384.895           4.751     38.988844       -80.495518                                                                                           
WV      54043   01550028        Lincoln County  21720   9887    1131924510      4024203      437.039           1.554     38.171650       -82.077547                                                                                         
WV      54045   01550029        Logan County    36743   16743   1175173524      4866223      453.737           1.879     37.830591       -81.940853                                                                                          
WV      54047   01689162        McDowell County 22113   11322   1381643483      3736644      533.456           1.443     37.382663       -81.658205                                                                                       
WV      54049   01718173        Marion County   56418   26463   799620921       7207890      308.735           2.783     39.505839       -80.243402                                                                                          
WV      54051   01717539        Marshall County 33107   15918   791062651       17412491             305.431           6.723     39.854717       -80.671378                                                                                       
WV      54053   01560254        Mason County    27324   13006   1115632960      36174753             430.748          13.967     38.759288       -82.024171                                                                                         
WV      54055   01557645        Mercer County   62264   30115   1085187156      4482333      418.993           1.731     37.403448       -81.106456                                                                                         
WV      54057   01717890        Mineral County  28212   13039   849075073       3595249      327.830           1.388     39.405626       -78.956581                                                                                         
WV      54059   01550036        Mingo County    26839   12699   1095846454      2224025      423.109           0.859     37.721151       -82.158993                                                                                          
WV      54061   01550037        Monongalia County       96189   43238   932556578       15068012             360.062           5.818     39.633645       -80.059074                                                                                     
WV      54063   01557702        Monroe County   13502   7601    1224422242      2298838      472.752           0.888     37.550353       -80.547891                                                                                          
WV      54065   01557950        Morgan County   17541   9753    593295447       1401528      229.073           0.541     39.554835       -78.257314                                                                                           
WV      54067   01550040        Nicholas County 26233   13064   1675266140      19638976             646.824           7.583     38.291416       -80.797516                                                                                      
