USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
PA      42001   01213656        Adams County    101407  40820   1343342705      8081576      518.668           3.120     39.869471       -77.217730                                                                                         
PA      42003   01213657        Allegheny County        1223348 589201  1890884266      37418903             730.075          14.448     40.468920       -79.980920                                                                                  
PA      42005   01213658        Armstrong County        68941   32520   1691787010      27556878             653.203          10.640     40.812379       -79.464128                                                                                     
PA      42007   01214112        Beaver County   170539  78211   1125900054      24167050             434.712           9.331     40.684140       -80.350721                                                                                       
PA      42009   01209171        Bedford County  49762   23954   2621835502      11936863            1012.296           4.609     39.997115       -78.489980                                                                                       
PA      42011   01209172        Berks County    411442  164827  2218341544      23955804             856.506           9.249     40.413957       -75.926860                                                                                       
PA      42013   01213659        Blair County    127089  56276   1361815301      3285521      525.800           1.269     40.497926       -78.310640                                                                                         
PA      42015   01213660        Bradford County 62622   29979   2971749132      35276067            1147.399          13.620     41.791495       -76.502124                                                                                      
PA      42017   01209173        Bucks County    625249  245956  1565148677      45497815             604.307          17.567     40.336887       -75.107060                                                                                       
PA      42019   01213661        Butler County   183862  78167   2042475490      15921864             788.604           6.147     40.913834       -79.918960                                                                                       
PA      42021   01213662        Cambria County  143679  65650   1782819861      13680552             688.351           5.282     40.494127       -78.715284                                                                                      
PA      42023   01213663        Cameron County  5085    4455    1026232612      5664007      396.231           2.187     41.438289       -78.198314                                                                                          
PA      42025   01213664        Carbon County   65249   34299   987977465       15350043             381.460           5.927     40.917832       -75.709428                                                                                         
PA      42027   01214720        Centre County   153990  63297   2874682925      7878533     1109.921           3.042     40.909160       -77.847830                                                                                        
PA      42029   01209174        Chester County  498886  192462  1943805957      22602804             750.508           8.727     39.973965       -75.749732                                                                                     
PA      42031   01210234        Clarion County  39988   19962   1556153827      23335960             600.834           9.010     41.198238       -79.420404                                                                                       
PA      42033   01209175        Clearfield County       81642   38644   2964816225      23933885            1144.722           9.241     41.000249       -78.473749                                                                                    
PA      42035   01214721        Clinton County  39238   19080   2299868539      23178658             887.984           8.949     41.245301       -77.649141                                                                                       
