USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
ME      23001   00581286        Androscoggin County     107702  49090   1211926439      75610678             467.927          29.193     44.167681       -70.207435                                                                                 
ME      23003   00581287        Aroostook County        71870   39529   17278664655     404653951           6671.330         156.238     46.727057       -68.649410                                                                                   
ME      23005   00581288        Cumberland County       281674  138657  2163263369      989949911            835.241         382.222     43.808348       -70.330375                                                                                 
ME      23007   00581289        Franklin County 30768   21709   4394196449      121392907           1696.609          46.870     44.973012       -70.444727                                                                                     
ME      23009   00581290        Hancock County  54418   40184   4110034060      1963321064          1586.893         758.043     44.564906       -68.370703                                                                                     
ME      23011   00581291        Kennebec County 122151  60972   2246876912      216653706            867.524          83.650     44.417012       -69.765764                                                                                    
ME      23013   00581292        Knox County     39736   23744   945691411       2017114386           365.134         778.812     44.042045       -69.038514                                                                                         
ME      23015   00581293        Lincoln County  34457   23493   1180563700      631400289            455.818         243.785     43.994264       -69.514029                                                                                      
ME      23017   00581294        Oxford County   57833   36055   5378990983      256086721           2076.840          98.876     44.494585       -70.734687                                                                                       
ME      23019   00581295        Penobscot County        153923  73860   8799125852      413670635           3397.362         159.719     45.390602       -68.657487                                                                                   
ME      23021   00581296        Piscataquis County      17535   15340   10258570727     1080309847          3960.856         417.110     45.917678       -69.104548                                                                                
ME      23023   00581297        Sagadahoc County        35293   18288   657066836       301332007            253.695         116.345     43.916694       -69.843994                                                                                     
ME      23025   00581298        Somerset County 52228   30569   10164156961     438038365           3924.403         169.128     45.507482       -69.976040                                                                                    
ME      23027   00581299        Waldo County    38786   21566   1890479704      318149622            729.918         122.838     44.505361       -69.139677                                                                                        
ME      23029   00581300        Washington County       32856   23001   6637257545      1800019787          2562.660         694.992     44.967009       -67.609354                                                                                  
ME      23031   00581301        York County     197131  105773  2565935077      722608929            990.713         279.001     43.427239       -70.670402                                                                                       
