USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
NC      37001   01008531        Alamance County 151131  66576   1098007863      27957457             423.943          10.794     36.041974       -79.399935                                                                                     
NC      37003   01008532        Alexander County        37198   16189   673381461       9469976      259.994           3.656     35.920951       -81.177467                                                                                       
NC      37005   01008533        Alleghany County        11155   8094    608801116       3854920      235.059           1.488     36.489356       -81.132299                                                                                        
NC      37007   01008534        Anson County    26948   11576   1376453053      14612923             531.452           5.642     34.974996       -80.109959                                                                                         
NC      37009   01008535        Ashe County     27281   17342   1103683753      8117340      426.135           3.134     36.436305       -81.498770                                                                                           
NC      37011   01008536        Avery County    17797   13890   639951854       367329       247.087           0.142     36.072894       -81.920363                                                                                            
NC      37013   01026333        Beaufort County 47759   24688   2142417945      339348344            827.192         131.023     35.482313       -76.842014                                                                                     
NC      37015   01026334        Bertie County   21282   9822    1811100404      108725316            699.270          41.979     36.061330       -76.962367                                                                                        
NC      37017   01026336        Bladen County   35190   17718   2264498846      33230362             874.328          12.830     34.591948       -78.539513                                                                                        
NC      37019   01026340        Brunswick County        107431  77482   2193650178      525380745            846.973         202.851     34.038708       -78.227688                                                                                   
NC      37021   01008538        Buncombe County 238318  113365  1700772614      8984885      656.672           3.469     35.609371       -82.530426                                                                                     
NC      37023   01008539        Burke County    90912   40879   1313381247      20658001             507.099           7.976     35.746182       -81.706180                                                                                         
NC      37025   01008540        Cabarrus County 178011  71937   936925455       7033038      361.749           2.715     35.387845       -80.552868                                                                                       
NC      37027   01008541        Caldwell County 83029   37659   1221349765      7115682      471.566           2.747     35.957857       -81.530076                                                                                       
NC      37029   01026335        Camden County   9980    4104    623038021       180412363            240.556          69.658     36.342344       -76.162488                                                                                          
NC      37031   01026337        Carteret County 66469   48179   1311185243      2161018307           506.251         834.374     34.858313       -76.526967                                                                                    
NC      37033   01008542        Caswell County  23719   10619   1100542142      8625089      424.922           3.330     36.393097       -79.332546                                                                                        
NC      37035   01008543        Catawba County  154358  67886   1032683744      38057078             398.721          14.694     35.663182       -81.214151                                                                                      
NC      37037   01008544        Chatham County  63505   28753   1766851529      71603066             682.185          27.646     35.704994       -79.251454                                                                                       
NC      37039   01008545        Cherokee County 27444   17515   1179547136      29262798             455.426          11.298     35.136233       -84.061308                                                                                      
NC      37041   01025822        Chowan County   14793   7289    446702391       157536111            172.473          60.825     36.127288       -76.602070                                                                                         
NC      37043   01008546        Clay County     10587   7140    556201310       15223554             214.751           5.878     35.052997       -83.752264                                                                                            
NC      37045   01008547        Cleveland County        98078   43373   1202408392      10356247             464.252           3.999     35.334630       -81.557114                                                                                     
NC      37047   01026339        Columbus County 58098   26042   2427578082      42338295             937.293          16.347     34.260471       -78.636378                                                                                      
NC      37049   01026123        Craven County   103505  45002   1836191667      168876517            708.958          65.204     35.118179       -77.082541                                                                                      
NC      37051   01026124        Cumberland County       319431  135524  1689487711      15675494             652.315           6.052     35.050192       -78.828719                                                                                  
NC      37053   01026125        Currituck County        23547   14453   678194049       685673954            261.852         264.740     36.372174       -75.941224                                                                                     
NC      37055   01026133        Dare County     33920   33492   993052150       3053969840           383.420        1179.144     35.606269       -75.767536                                                                                         
NC      37057   01008548        Davidson County 162878  72655   1431421129      37148773             552.675          14.343     35.795123       -80.206525                                                                                     
NC      37059   01008549        Davie County    41240   18238   684029311       7726765      264.105           2.983     35.929356       -80.542542                                                                                           
NC      37061   01026132        Duplin County   58505   25728   2113998631      14128054             816.219           5.455     34.934403       -77.933543                                                                                        
NC      37063   01008550        Durham County   267587  120217  740672748       30797770             285.975          11.891     36.036589       -78.877919                                                                                       
NC      37065   01008551        Edgecombe County        56552   24838   1308814792      3402234      505.336           1.314     35.917055       -77.602655                                                                                      
NC      37067   01008552        Forsyth County  350670  156872  1057097245      11781201             408.148           4.549     36.131667       -80.257289                                                                                     
NC      37069   01008553        Franklin County 60619   26577   1273451203      7294554      491.682           2.816     36.088241       -78.283090                                                                                       
NC      37071   01008554        Gaston County   206086  88686   922106205       20913349             356.027           8.075     35.293344       -81.177256                                                                                        
NC      37073   01026126        Gates County    12197   5208    881747682       13578050             340.445           5.243     36.442135       -76.702355                                                                                           
NC      37075   01008555        Graham County   8861    5930    756481641       24828214             292.079           9.586     35.348111       -83.830909                                                                                           
NC      37077   01008556        Granville County        59916   22827   1376758990      12765614             531.570           4.929     36.299884       -78.657634                                                                                     
NC      37079   01008557        Greene County   21362   8213    688749236       1222022      265.928           0.472     35.481933       -77.681667                                                                                           
NC      37081   01008558        Guilford County 488406  218017  1672364534      30883952             645.704          11.924     36.079065       -79.788665                                                                                    
