USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
KS      20001   00484970        Allen County    13371   6226    1295779123      13007076             500.303           5.022     37.884228       -95.300945                                                                                          
KS      20003   00484971        Anderson County 8102    3720    1501276302      10586961             579.646           4.088     38.215114       -95.292046                                                                                        
KS      20005   00484972        Atchison County 16924   6990    1116729659      6857598      431.172           2.648     39.532544       -95.313397                                                                                        
KS      20007   00484973        Barber County   4861    2765    2937235546      5420045     1134.073           2.093     37.222906       -98.685052                                                                                           
KS      20009   00484974        Barton County   27674   12696   2319075093      13557185             895.400           5.234     38.481239       -98.767837                                                                                        
KS      20011   00484975        Bourbon County  15173   7167    1645861744      9377657      635.471           3.621     37.856100       -94.850928                                                                                         
KS      20013   00484976        Brown County    9984    4779    1478551884      3196161      570.872           1.234     39.825931       -95.569905                                                                                            
KS      20015   00484977        Butler County   65880   26058   3703329246      43160444            1429.863          16.664     37.773681       -96.838762                                                                                        
KS      20017   00484978        Chase County    2790    1503    2002216830      12088093             773.060           4.667     38.298553       -96.594064                                                                                           
KS      20019   00484979        Chautauqua County       3669    2150    1654693205      15244179             638.881           5.886     37.154259       -96.245396                                                                                      
KS      20021   00484980        Cherokee County 21603   9890    1521793550      8948884      587.568           3.455     37.169392       -94.845698                                                                                        
KS      20023   00484981        Cheyenne County 2726    1518    2641495949      2738022     1019.887           1.057     39.789256      -101.727302                                                                                         
KS      20025   00484982        Clark County    2215    1135    2524286181      6604959      974.632           2.550     37.233831       -99.813869                                                                                            
KS      20027   00484983        Clay County     8535    4042    1671322093      26674040             645.301          10.299     39.344964       -97.168853                                                                                            
KS      20029   00484984        Cloud County    9533    4659    1852726587      6859864      715.342           2.649     39.487329       -97.641390                                                                                            
KS      20031   00484985        Coffey County   8601    3964    1623784229      70310651             626.947          27.147     38.236450       -95.729137                                                                                          
KS      20033   00484986        Comanche County 1891    1044    2041681413      3604153      788.298           1.392     37.189071       -99.254089                                                                                         
KS      20035   00484987        Cowley County   36311   16030   2915679697      17291321            1125.750           6.676     37.234507       -96.837247                                                                                        
KS      20037   00484988        Crawford County 39134   17801   1527461827      13611094             589.756           5.255     37.505628       -94.853941                                                                                      
KS      20039   00484989        Decatur County  2961    1818    2314199313      1631670      893.517           0.630     39.783542      -100.459708                                                                                          
KS      20041   00484990        Dickinson County        19754   8972    2193906542      12634524             847.072           4.878     38.867735       -97.157943                                                                                      
KS      20043   00484991        Doniphan County 7945    3576    1018914848      12615016             393.405           4.871     39.788502       -95.147225                                                                                        
KS      20045   00484992        Douglas County  110826  46731   1180699859      48602935             455.871          18.766     38.896573       -95.290529                                                                                      
KS      20047   00484993        Edwards County  3037    1636    1610697086      208568       621.894           0.081     37.883595       -99.304746                                                                                           
KS      20049   00484994        Elk County      2882    1760    1668637984      16061465             644.265           6.201     37.456026       -96.244642                                                                                             
KS      20051   00484995        Ellis County    28452   12872   2330762469      1197085      899.912           0.462     38.914596       -99.317329                                                                                          
KS      20053   00484996        Ellsworth County        6497    3239    1854034693      19270084             715.847           7.440     38.700845       -98.205355                                                                                       
KS      20055   00485326        Finney County   36776   13276   3372079580      1825540     1301.967           0.705     38.049855      -100.739929                                                                                         
KS      20057   00484997        Ford County     33848   12005   2844508251      2097359     1098.271           0.810     37.688365       -99.884734                                                                                           
KS      20059   00484998        Franklin County 25992   11147   1480840246      13936113             571.756           5.381     38.558019       -95.278962                                                                                      
KS      20061   00484999        Geary County    34362   14517   996156662       51455057             384.618          19.867     39.002155       -96.768038                                                                                          
KS      20063   00485000        Gove County     2695    1373    2775599078      245361      1071.665           0.095     38.917239      -100.487360                                                                                              
KS      20065   00481811        Graham County   2597    1484    2327160854      599432       898.522           0.231     39.349445       -99.880952                                                                                            
KS      20067   00485099        Grant County    7829    2945    1488724794      892455       574.800           0.345     37.547537      -101.299362                                                                                             
KS      20069   00485001        Gray County     6006    2340    2250356182      1113338      868.867           0.430     37.744513      -100.451716                                                                                             
KS      20071   00485002        Greeley County  1247    629     2016176814      0            778.450           0.000     38.480408      -101.805984                                                                                                 
KS      20073   00485003        Greenwood County        6689    4068    2961132699      24155799            1143.300           9.327     37.878659       -96.242232                                                                                       
KS      20075   00485327        Hamilton County 2690    1236    2580942885      2904549      996.508           1.121     37.995244      -101.793689                                                                                         
KS      20077   00485004        Harper County   6034    3116    2075276375      3913474      801.269           1.511     37.188184       -98.066590                                                                                           
KS      20079   00485005        Harvey County   34684   14527   1397957172      2507542      539.754           0.968     38.050144       -97.436706                                                                                         
KS      20081   00485328        Haskell County  4256    1666    1495773065      910409       577.521           0.352     37.558550      -100.876869                                                                                           
KS      20083   00485006        Hodgeman County 1916    973     2227369168      826344       859.992           0.319     38.087493       -99.898407                                                                                           
KS      20085   00485007        Jackson County  13462   5779    1699594134      4666496      656.217           1.802     39.410989       -95.794509                                                                                         
KS      20087   00485008        Jefferson County        19126   8160    1379359803      62427436             532.574          24.103     39.239644       -95.375314                                                                                      
KS      20089   00485009        Jewell County   3077    2032    2356321996      11859548             909.781           4.579     39.777010       -98.222584                                                                                          
KS      20091   00485010        Johnson County  544179  226571  1226034453      16890687             473.375           6.522     38.883907       -94.822330                                                                                     
KS      20093   00485011        Kearny County   3977    1556    2254697108      1133601      870.543           0.438     37.994461      -101.308136                                                                                           
KS      20095   00485012        Kingman County  7858    3818    2236099115      8536481      863.363           3.296     37.552951       -98.144529                                                                                          
KS      20097   00485013        Kiowa County    2553    1220    1871626797      596764       722.639           0.230     37.561231       -99.286539                                                                                             
KS      20099   00485014        Labette County  21607   10092   1671305414      20261495             645.295           7.823     37.191468       -95.297473                                                                                       
