USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
MO      29001   00765805        Adair County    25607   11263   1469361117      5468982      567.324           2.112     40.190666       -92.603592                                                                                          
MO      29003   00758456        Andrew County   17291   7306    1120694861      9651366      432.703           3.726     39.988863       -94.803551                                                                                          
MO      29005   00758457        Atchison County 5685    2985    1417505255      7319663      547.302           2.826     40.431846       -95.437555                                                                                         
MO      29007   00758458        Audrain County  25529   10852   1792879633      11881468             692.235           4.587     39.214480       -91.843415                                                                                       
MO      29009   00758459        Barry County    35597   17523   2015660483      32940910             778.251          12.719     36.699378       -93.834326                                                                                         
MO      29011   00758460        Barton County   12402   5600    1533067694      12435199             591.921           4.801     37.500799       -94.344089                                                                                         
MO      29013   00758461        Bates County    17049   7842    2167014473      38051024             836.689          14.692     38.257217       -94.339246                                                                                          
MO      29015   00758462        Benton County   19056   14150   1823507941      125579882            704.060          48.487     38.301036       -93.287942                                                                                       
MO      29017   00758463        Bollinger County        12363   5878    1600368466      8528361      617.906           3.293     37.318349       -90.024601                                                                                       
MO      29019   00758464        Boone County    162642  69551   1775212930      14419681             685.414           5.567     38.989657       -92.310779                                                                                        
MO      29021   00758465        Buchanan County 89201   38427   1056784404      17173359             408.027           6.631     39.660369       -94.808173                                                                                      
MO      29023   00758466        Butler County   42794   19731   1799185123      11194895             694.669           4.322     36.715180       -90.403130                                                                                        
MO      29025   00758467        Caldwell County 9424    4605    1104352197      8402507      426.393           3.244     39.658998       -93.979179                                                                                         
MO      29027   00758468        Callaway County 44332   18522   2161538606      33106941             834.575          12.783     38.835966       -91.924089                                                                                      
MO      29029   00758469        Camden County   44002   41183   1698831838      136548740            655.923          52.722     38.031995       -92.765138                                                                                       
MO      29031   00758470        Cape Girardeau County   75674   32616   1498398199      20174852             578.535           7.790     37.383882       -89.684908                                                                                
MO      29033   00758471        Carroll County  9295    4630    1799061284      17533455             694.621           6.770     39.427375       -93.500227                                                                                         
