USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
IL      17001   00424202        Adams County    67103   29842   2214963578      41793038             855.202          16.136     39.986052       -91.194961                                                                                         
IL      17003   00424203        Alexander County        8238    4006    609965908       44268323             235.509          17.092     37.183683       -89.349506                                                                                        
IL      17005   00424204        Bond County     17768   7089    984918676       6426360      380.279           2.481     38.885924       -89.436592                                                                                             
IL      17007   00424205        Boone County    54165   19970   727059777       3380831      280.719           1.305     42.318983       -88.824295                                                                                           
IL      17009   00424206        Brown County    6937    2462    791518279       4139308      305.607           1.598     39.962069       -90.750309                                                                                             
IL      17011   00424207        Bureau County   34978   15720   2250780454      11583679             869.031           4.472     41.401304       -89.528377                                                                                        
IL      17013   00424208        Calhoun County  5089    2835    657402816       77057174             253.825          29.752     39.164262       -90.666295                                                                                          
IL      17015   00424209        Carroll County  15387   8437    1152045333      55821513             444.807          21.553     42.059084       -89.926485                                                                                        
IL      17017   00424210        Cass County     13642   5836    973365036       20581547             375.818           7.947     39.969202       -90.245704                                                                                            
IL      17019   00424211        Champaign County        201081  87569   2580316235      5509218      996.266           2.127     40.139150       -88.197201                                                                                     
IL      17021   00424212        Christian County        34800   15563   1837278793      16221497             709.377           6.263     39.545524       -89.279593                                                                                     
IL      17023   00424213        Clark County    16335   7772    1298666494      8806915      501.418           3.400     39.332364       -87.791687                                                                                           
IL      17025   00424214        Clay County     13815   6404    1212932408      3304659      468.316           1.276     38.747312       -88.483789                                                                                            
IL      17027   00424215        Clinton County  37762   15311   1227874498      75592326             474.085          29.186     38.606423       -89.423136                                                                                       
IL      17029   00424216        Coles County    53873   23425   1316466333      4624844      508.291           1.786     39.513680       -88.220782                                                                                          
IL      17031   01784766        Cook County     5194675 2180359 2448383588      1785882224           945.326         689.533     41.894294       -87.645455                                                                                    
IL      17033   00424218        Crawford County 19817   8661    1148994475      5670462      443.629           2.189     39.003730       -87.757172                                                                                        
IL      17035   00424219        Cumberland County       11048   4874    896198602       2535805      346.024           0.979     39.273121       -88.240619                                                                                       
IL      17037   00422190        DeKalb County   105160  41079   1635077221      8684327      631.307           3.353     41.894612       -88.768991                                                                                        
IL      17039   00426598        De Witt County  16561   7521    1029554715      19608681             397.513           7.571     40.181499       -88.901853                                                                                        
IL      17041   00424222        Douglas County  19980   8390    1079156495      1448702      416.665           0.559     39.766078       -88.222866                                                                                         
IL      17043   00422191        DuPage County   916924  356179  848218379       23083362             327.499           8.913     41.852058       -88.086038                                                                                       
IL      17045   00424224        Edgar County    18576   8803    1614531997      1610636      623.374           0.622     39.679037       -87.747110                                                                                           
IL      17047   00424225        Edwards County  6721    3187    576054180       788767       222.416           0.305     38.417095       -88.047941                                                                                            
IL      17049   00424226        Effingham County        34242   14570   1240027936      3183199      478.777           1.229     39.047694       -88.592786                                                                                      
IL      17051   00424227        Fayette County  22140   9302    1855679809      22950051             716.482           8.861     39.001125       -89.017923                                                                                        
IL      17053   00424228        Ford County     14081   6282    1257738509      1621586      485.616           0.626     40.594423       -88.224746                                                                                            
IL      17055   00424229        Franklin County 39561   18525   1059017642      58416872             408.889          22.555     37.991848       -88.926246                                                                                      
IL      17057   00424230        Fulton County   37069   16195   2241880276      43974299             865.595          16.979     40.465688       -90.206793                                                                                        
IL      17059   00424231        Gallatin County 5589    2746    836750424       13238548             323.071           5.111     37.768677       -88.227964                                                                                         
IL      17061   00424232        Greene County   13886   6389    1406413796      8425403      543.019           3.253     39.355444       -90.387757                                                                                          
IL      17063   00424233        Grundy County   50063   19996   1082725907      32126847             418.043          12.404     41.292410       -88.401054                                                                                        
IL      17065   00424234        Hamilton County 8457    4104    1125777456      3174991      434.665           1.226     38.085226       -88.539005                                                                                         
IL      17067   00424235        Hancock County  19104   9274    2055740516      53535882             793.726          20.670     40.405792       -91.167987                                                                                        
IL      17069   00424236        Hardin County   4320    2488    459794312       10491249             177.528           4.051     37.517852       -88.266148                                                                                           
IL      17071   00424237        Henderson County        7331    3827    981273730       42340541             378.872          16.348     40.815141       -90.938480                                                                                        
IL      17073   00424238        Henry County    50486   22161   2131522072      6884367      822.985           2.658     41.350021       -90.130838                                                                                          
IL      17075   00424239        Iroquois County 29718   13452   2893835594      4172263     1117.316           1.611     40.748867       -87.833601                                                                                       
IL      17077   00424240        Jackson County  60218   28578   1512763725      47391559             584.081          18.298     37.786096       -89.381212                                                                                       
IL      17079   00424241        Jasper County   9698    4345    1280774187      9348767      494.510           3.610     39.004874       -88.150763                                                                                           
IL      17081   00424242        Jefferson County        38827   16954   1479320495      32673835             571.169          12.615     38.300780       -88.924210                                                                                     
IL      17083   00424243        Jersey County   22985   9848    956408129       20348919             369.271           7.857     39.080192       -90.361365                                                                                          
IL      17085   00424244        Jo Daviess County       22678   13574   1556808594      45690178             601.087          17.641     42.362391       -90.211470                                                                                    
IL      17087   00424245        Johnson County  12582   5598    890735754       12816588             343.915           4.949     37.460815       -88.882962                                                                                         
IL      17089   00424246        Kane County     515269  182047  1346943286      10730649             520.058           4.143     41.939594       -88.428040                                                                                        
IL      17091   00424247        Kankakee County 113449  45246   1752271023      12452094             676.556           4.808     41.139494       -87.861125                                                                                     
IL      17093   00424248        Kendall County  114736  40321   829664827       5140545      320.335           1.985     41.588140       -88.430626                                                                                        
IL      17095   00424249        Knox County     52919   24077   1855453788      8849496      716.395           3.417     40.930941       -90.213761                                                                                           
IL      17097   01784796        Lake County     703462  260310  1149099822      2395243697           443.670         924.809     42.326444       -87.436118                                                                                      
IL      17099   00422247        LaSalle County  113924  49978   2939957539      33700941            1135.124          13.012     41.343341       -88.885931                                                                                      
IL      17101   00424252        Lawrence County 16833   6936    963936870       5077778      372.178           1.961     38.718954       -87.730221                                                                                         
IL      17103   00424253        Lee County      36031   15049   1877472815      10506478             724.896           4.057     41.747442       -89.299351                                                                                           
IL      17105   00424254        Livingston County       38950   15895   2704686611      4252873     1044.285           1.642     40.894376       -88.552852                                                                                     
IL      17107   00424255        Logan County    30305   12107   1600764560      2247126      618.059           0.868     40.129070       -89.365308                                                                                          
IL      17109   01784729        McDonough County        32612   14419   1526558259      2012556      589.407           0.777     40.455789       -90.677579                                                                                      
IL      17111   01784815        McHenry County  308760  116040  1562206475      19791771             603.171           7.642     42.324298       -88.452245                                                                                     
