USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
ND      38001   01034210        Adams County    2343    1377    2557922251      2833850      987.619           1.094     46.096815      -102.533198                                                                                            
ND      38003   01034225        Barnes County   11066   5704    3863106624      56593591            1491.554          21.851     46.942550       -98.070195                                                                                         
ND      38005   01034216        Benson County   6660    2950    3596736786      131543448           1388.708          50.789     48.071738       -99.361987                                                                                         
ND      38007   01035616        Billings County 783     484     2975515808      11971761            1148.853           4.622     47.009283      -103.364924                                                                                          
ND      38009   01034227        Bottineau County        6429    4341    4321189959      74919452            1668.421          28.927     48.794412      -100.831257                                                                                       
ND      38011   01035619        Bowman County   3151    1683    3009066810      13587996            1161.807           5.246     46.107807      -103.506586                                                                                          
ND      38013   01034235        Burke County    1968    1340    2858226820      65673353            1103.568          25.357     48.786453      -102.520087                                                                                           
ND      38015   01035614        Burleigh County 81308   35754   4228552194      92317493            1632.653          35.644     46.971843      -100.462001                                                                                      
ND      38017   01034226        Cass County     149778  67938   4571166077      7672824     1764.937           2.962     46.927003       -97.252375                                                                                          
ND      38019   01035304        Cavalier County 3993    2309    3855846875      54931561            1488.751          21.209     48.768439       -98.463790                                                                                        
ND      38021   01035622        Dickey County   5289    2636    2930494938      27610559            1131.470          10.660     46.107756       -98.496518                                                                                          
ND      38023   01034234        Divide County   2071    1324    3265421252      86617715            1260.786          33.443     48.818142      -103.497653                                                                                          
ND      38025   01035623        Dunn County     3536    2132    5201886375      190579197           2008.460          73.583     47.354610      -102.612365                                                                                           
ND      38027   01034222        Eddy County     2385    1323    1632134239      36114074             630.171          13.944     47.723436       -98.900474                                                                                            
ND      38029   01035615        Emmons County   3550    2085    3912008054      115480694           1510.435          44.587     46.284255      -100.237842                                                                                         
ND      38031   01034223        Foster County   3343    1801    1645814578      29450851             635.453          11.371     47.464327       -98.872817                                                                                          
ND      38033   01035617        Golden Valley County    1680    967     2592024347      4147539     1000.786           1.601     46.938924      -103.844612                                                                                     
ND      38035   01034218        Grand Forks County      66861   29344   3720196548      8098075     1436.376           3.127     47.926003       -97.450851                                                                                    
ND      38037   01035300        Grant County    2394    1690    4297150375      17563260            1659.139           6.781     46.357827      -101.639049                                                                                           
ND      38039   01034219        Griggs County   2420    1461    1835821650      19759408             708.815           7.629     47.463463       -98.232444                                                                                          
ND      38041   01034209        Hettinger County        2477    1414    2932439374      4036933     1132.221           1.559     46.434939      -102.458385                                                                                        
ND      38043   01034206        Kidder County   2435    1674    3499563866      211662138           1351.189          81.723     46.935385       -99.742727                                                                                         
ND      38045   01035621        LaMoure County  4139    2238    2967978523      12813384            1145.943           4.947     46.464195       -98.526057                                                                                         
ND      38047   01035620        Logan County    1990    1144    2571385626      47715595             992.818          18.423     46.469278       -99.504585                                                                                           
ND      38049   01035305        McHenry County  5395    2948    4853519308      97354626            1873.954          37.589     48.233842      -100.633267                                                                                         
ND      38051   01034211        McIntosh County 2809    1858    2524546555      51817666             974.733          20.007     46.117034       -99.443041                                                                                        
ND      38053   01035299        McKenzie County 6360    3090    7149203878      260170373           2760.323         100.452     47.742475      -103.403215                                                                                       
ND      38055   01034232        McLean County   8962    5590    5467142997      562391654           2110.876         217.141     47.653055      -101.421794                                                                                         
ND      38057   01034233        Mercer County   8424    4450    2701246664      180092152           1042.957          69.534     47.303279      -101.820765                                                                                         
ND      38059   01034207        Morton County   27471   12079   4989016959      49666838            1926.270          19.176     46.713789      -101.279743                                                                                        
ND      38061   01035307        Mountrail County        7673    4119    4727500245      301140196           1825.298         116.271     48.210291      -102.364756                                                                                      
ND      38063   01034217        Nelson County   3126    1927    2542784509      70037095             981.775          27.041     47.918667       -98.204428                                                                                          
ND      38065   01034205        Oliver County   1846    905     1871293986      22476269             722.511           8.678     47.118079      -101.331420                                                                                           
ND      38067   01034212        Pembina County  7413    3859    2897404213      6996073     1118.694           2.701     48.766896       -97.545405                                                                                          
ND      38069   01034230        Pierce County   4357    2199    2638162604      165070762           1018.600          63.734     48.238883       -99.966497                                                                                         
ND      38071   01034215        Ramsey County   11451   5615    3073936800      295415855           1186.854         114.061     48.265551       -98.737329                                                                                        
ND      38073   01035301        Ransom County   5457    2656    2233494202      3581125      862.357           1.383     46.449276       -97.647554                                                                                           
ND      38075   01034229        Renville County 2470    1386    2271556786      40648335             877.053          15.694     48.712781      -101.658152                                                                                        
ND      38077   01035302        Richland County 16321   7503    3718650537      25035912            1435.779           9.666     46.265219       -96.937960                                                                                       
ND      38079   01034228        Rolette County  13937   5372    2338963694      93918521             903.079          36.262     48.768271       -99.840463                                                                                        
